split,filename,class_name,bbox_index,width_px,height_px,area_px,relative_area,aspect_ratio,objects_in_image,domain,outlier_side,rank,percentile,outlier_score,review_reason
train,DAMIMAS_A21B_0698_3.jpg,B1,5,54,50,2736,0.0022,1.0833,6,DAMIMAS,left,11,0.0046,0.8410,B1 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0350_4.jpg,B1,0,38,75,2825,0.0023,0.5038,4,DAMIMAS,left,12,0.0051,0.8358,B1 terlalu kecil dibanding distribusi kelasnya
val,DAMIMAS_A21B_0839_2.jpg,B1,1,46,61,2844,0.0023,0.7527,5,DAMIMAS,left,13,0.0055,0.8348,B1 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0473_1.jpg,B1,0,50,59,2952,0.0024,0.8406,2,DAMIMAS,left,14,0.0060,0.8285,B1 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0058_3.jpg,B1,1,47,64,3007,0.0024,0.7364,4,DAMIMAS,left,15,0.0064,0.8253,B1 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0163_2.jpg,B1,4,48,65,3125,0.0025,0.7483,7,DAMIMAS,left,16,0.0069,0.8184,B1 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0501_3.jpg,B1,0,76,42,3171,0.0026,1.8125,6,DAMIMAS,left,17,0.0074,0.8157,B1 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0746_4.jpg,B1,1,24,132,3211,0.0026,0.1856,6,DAMIMAS,left,18,0.0078,0.8134,B1 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0190_3.jpg,B1,0,47,69,3240,0.0026,0.6789,5,DAMIMAS,left,19,0.0083,0.8117,B1 terlalu kecil dibanding distribusi kelasnya
test,DAMIMAS_A21B_0749_1.jpg,B1,3,51,68,3468,0.0028,0.7594,8,DAMIMAS,left,20,0.0087,0.7985,B1 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0627_4.jpg,B1,2,62,58,3554,0.0029,1.0744,5,DAMIMAS,left,21,0.0092,0.7935,B1 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0202_3.jpg,B1,0,59,61,3587,0.0029,0.9765,2,DAMIMAS,left,22,0.0097,0.7916,B1 terlalu kecil dibanding distribusi kelasnya
test,DAMIMAS_A21B_0126_1.jpg,B1,0,53,68,3592,0.0029,0.7680,5,DAMIMAS,left,23,0.0101,0.7913,B1 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0462_2.jpg,B1,0,45,82,3713,0.0030,0.5479,4,DAMIMAS,left,24,0.0106,0.7843,B1 terlalu kecil dibanding distribusi kelasnya
test,DAMIMAS_A21B_0678_4.jpg,B1,0,426,378,161222,0.1312,1.1271,4,DAMIMAS,right,1,1.0000,8.3679,B1 terlalu besar dibanding distribusi kelasnya
val,DAMIMAS_A21B_0703_2.jpg,B1,0,314,394,123829,0.1008,0.7967,6,DAMIMAS,right,2,0.9995,6.1951,B1 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0692_4.jpg,B1,0,366,338,123574,0.1006,1.0836,4,DAMIMAS,right,3,0.9991,6.1803,B1 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0721_2.jpg,B1,0,352,336,118099,0.0961,1.0479,6,DAMIMAS,right,4,0.9986,5.8622,B1 terlalu besar dibanding distribusi kelasnya
test,DAMIMAS_A21B_0642_1.jpg,B1,0,276,371,102395,0.0833,0.7430,4,DAMIMAS,right,5,0.9982,4.9497,B1 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0688_2.jpg,B1,0,336,300,100714,0.0820,1.1190,6,DAMIMAS,right,6,0.9977,4.8520,B1 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0681_3.jpg,B1,0,300,327,98036,0.0798,0.9180,7,DAMIMAS,right,7,0.9972,4.6964,B1 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0717_3.jpg,B1,0,305,317,96626,0.0786,0.9646,6,DAMIMAS,right,8,0.9968,4.6145,B1 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0632_3.jpg,B1,1,295,319,94044,0.0765,0.9268,9,DAMIMAS,right,9,0.9963,4.4645,B1 terlalu besar dibanding distribusi kelasnya
test,DAMIMAS_A21B_0727_4.jpg,B1,0,305,288,88064,0.0717,1.0583,8,DAMIMAS,right,10,0.9959,4.1170,B1 terlalu besar dibanding distribusi kelasnya
val,DAMIMAS_A21B_0703_4.jpg,B1,0,288,303,87371,0.0711,0.9524,6,DAMIMAS,right,11,0.9954,4.0767,B1 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0723_4.jpg,B1,2,293,296,86811,0.0706,0.9880,9,DAMIMAS,right,12,0.9949,4.0442,B1 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0629_1.jpg,B1,0,261,330,86226,0.0702,0.7927,5,DAMIMAS,right,13,0.9945,4.0102,B1 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0670_2.jpg,B1,0,255,334,85235,0.0694,0.7641,5,DAMIMAS,right,14,0.9940,3.9526,B1 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0638_1.jpg,B1,0,275,310,85044,0.0692,0.8861,5,DAMIMAS,right,15,0.9936,3.9415,B1 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0728_3.jpg,B1,0,293,290,85002,0.0692,1.0115,7,DAMIMAS,right,16,0.9931,3.9391,B1 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0627_3.jpg,B1,2,284,298,84620,0.0689,0.9526,4,DAMIMAS,right,17,0.9926,3.9169,B1 terlalu besar dibanding distribusi kelasnya
val,DAMIMAS_A21B_0609_1.jpg,B1,0,259,323,83555,0.0680,0.8030,5,DAMIMAS,right,18,0.9922,3.8550,B1 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0729_2.jpg,B1,0,275,303,83252,0.0678,0.9065,6,DAMIMAS,right,19,0.9917,3.8374,B1 terlalu besar dibanding distribusi kelasnya
val,DAMIMAS_A21B_0708_2.jpg,B1,0,341,244,83136,0.0677,1.3993,7,DAMIMAS,right,20,0.9913,3.8307,B1 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0719_2.jpg,B1,0,291,279,81125,0.0660,1.0417,6,DAMIMAS,right,21,0.9908,3.7138,B1 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0723_2.jpg,B1,0,290,280,80949,0.0659,1.0355,10,DAMIMAS,right,22,0.9903,3.7035,B1 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0700_4.jpg,B1,0,272,287,78196,0.0636,0.9474,5,DAMIMAS,right,23,0.9899,3.5436,B1 terlalu besar dibanding distribusi kelasnya
test,DAMIMAS_A21B_0657_4.jpg,B1,0,318,246,78105,0.0636,1.2910,7,DAMIMAS,right,24,0.9894,3.5383,B1 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0011_3.jpg,B2,2,0,0,0,0.0000,0.0000,3,DAMIMAS,left,1,0.0000,1.0000,B2 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0087_2.jpg,B2,0,0,0,0,0.0000,0.0000,7,DAMIMAS,left,2,0.0002,1.0000,B2 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0083_4.jpg,B2,4,61,8,507,0.0004,7.2500,5,DAMIMAS,left,3,0.0005,0.9612,B2 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0441_2.jpg,B2,7,24,22,525,0.0004,1.1166,8,DAMIMAS,left,4,0.0007,0.9599,B2 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0501_3.jpg,B2,2,28,30,852,0.0007,0.9428,6,DAMIMAS,left,5,0.0010,0.9349,B2 terlalu kecil dibanding distribusi kelasnya
test,DAMIMAS_A21B_0246_1.jpg,B2,3,22,42,936,0.0008,0.5182,7,DAMIMAS,left,6,0.0012,0.9285,B2 terlalu kecil dibanding distribusi kelasnya
test,DAMIMAS_A21B_0449_1.jpg,B2,6,25,40,989,0.0008,0.6104,7,DAMIMAS,left,7,0.0015,0.9244,B2 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0470_3.jpg,B2,2,23,45,1044,0.0008,0.5242,6,DAMIMAS,left,8,0.0017,0.9203,B2 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0493_4.jpg,B2,4,25,46,1155,0.0009,0.5455,5,DAMIMAS,left,9,0.0020,0.9118,B2 terlalu kecil dibanding distribusi kelasnya
test,DAMIMAS_A21B_0005_4.jpg,B2,4,29,41,1178,0.0010,0.7021,5,DAMIMAS,left,10,0.0022,0.9100,B2 terlalu kecil dibanding distribusi kelasnya
train,LONSUM_A21A_0088_2.jpg,B2,3,30,39,1181,0.0010,0.7619,4,LONSUM,left,11,0.0025,0.9098,B2 terlalu kecil dibanding distribusi kelasnya
val,DAMIMAS_A21B_0724_3.jpg,B2,3,37,32,1193,0.0010,1.1342,4,DAMIMAS,left,12,0.0027,0.9088,B2 terlalu kecil dibanding distribusi kelasnya
val,DAMIMAS_A21B_0398_2.jpg,B2,6,25,51,1297,0.0011,0.4939,7,DAMIMAS,left,13,0.0029,0.9009,B2 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0305_3.jpg,B2,5,33,41,1337,0.0011,0.7941,6,DAMIMAS,left,14,0.0032,0.8979,B2 terlalu kecil dibanding distribusi kelasnya
train,LONSUM_A21A_0088_3.jpg,B2,5,34,42,1461,0.0012,0.8088,6,LONSUM,left,15,0.0034,0.8884,B2 terlalu kecil dibanding distribusi kelasnya
train,LONSUM_A21A_0083_1.jpg,B2,2,36,46,1660,0.0014,0.7940,4,LONSUM,left,16,0.0037,0.8732,B2 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0781_2.jpg,B2,6,32,53,1704,0.0014,0.6007,7,DAMIMAS,left,17,0.0039,0.8698,B2 terlalu kecil dibanding distribusi kelasnya
train,LONSUM_A21A_0092_1.jpg,B2,3,38,46,1778,0.0014,0.8311,4,LONSUM,left,18,0.0042,0.8642,B2 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0389_4.jpg,B2,0,52,35,1793,0.0015,1.4831,7,DAMIMAS,left,19,0.0044,0.8630,B2 terlalu kecil dibanding distribusi kelasnya
train,LONSUM_A21A_0095_2.jpg,B2,3,41,45,1820,0.0015,0.9070,4,LONSUM,left,20,0.0047,0.8610,B2 terlalu kecil dibanding distribusi kelasnya
test,DAMIMAS_A21B_0170_3.jpg,B2,3,37,50,1829,0.0015,0.7370,7,DAMIMAS,left,21,0.0049,0.8603,B2 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0425_2.jpg,B2,3,37,51,1887,0.0015,0.7264,5,DAMIMAS,left,22,0.0052,0.8559,B2 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0387_3.jpg,B2,3,57,33,1895,0.0015,1.6957,4,DAMIMAS,left,23,0.0054,0.8552,B2 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0470_3.jpg,B2,1,38,51,1945,0.0016,0.7343,6,DAMIMAS,left,24,0.0056,0.8514,B2 terlalu kecil dibanding distribusi kelasnya
test,DAMIMAS_A21B_0716_3.jpg,B2,0,318,355,112676,0.0917,0.8949,6,DAMIMAS,right,1,1.0000,7.6085,B2 terlalu besar dibanding distribusi kelasnya
test,DAMIMAS_A21B_0678_2.jpg,B2,0,321,335,107618,0.0876,0.9588,5,DAMIMAS,right,2,0.9998,7.2221,B2 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0692_2.jpg,B2,0,297,351,104328,0.0849,0.8473,4,DAMIMAS,right,3,0.9995,6.9707,B2 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0729_1.jpg,B2,0,309,316,97647,0.0795,0.9808,7,DAMIMAS,right,4,0.9993,6.4603,B2 terlalu besar dibanding distribusi kelasnya
test,DAMIMAS_A21B_0636_3.jpg,B2,0,320,291,93221,0.0759,1.0985,6,DAMIMAS,right,5,0.9990,6.1222,B2 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0707_3.jpg,B2,0,308,296,91036,0.0741,1.0423,6,DAMIMAS,right,6,0.9988,5.9552,B2 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0723_3.jpg,B2,0,302,292,88325,0.0719,1.0348,8,DAMIMAS,right,7,0.9985,5.7480,B2 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0617_3.jpg,B2,1,275,313,86089,0.0701,0.8792,5,DAMIMAS,right,8,0.9983,5.5772,B2 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0679_3.jpg,B2,0,303,275,83196,0.0677,1.1025,7,DAMIMAS,right,9,0.9980,5.3562,B2 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0629_4.jpg,B2,0,278,300,83152,0.0677,0.9269,5,DAMIMAS,right,10,0.9978,5.3528,B2 terlalu besar dibanding distribusi kelasnya
test,DAMIMAS_A21B_0687_1.jpg,B2,0,268,307,82438,0.0671,0.8723,5,DAMIMAS,right,11,0.9975,5.2983,B2 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0699_2.jpg,B2,0,267,307,82020,0.0667,0.8720,4,DAMIMAS,right,12,0.9973,5.2664,B2 terlalu besar dibanding distribusi kelasnya
val,DAMIMAS_A21B_0708_4.jpg,B2,0,290,281,81653,0.0664,1.0323,6,DAMIMAS,right,13,0.9971,5.2384,B2 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0606_3.jpg,B2,2,260,314,81609,0.0664,0.8292,4,DAMIMAS,right,14,0.9968,5.2350,B2 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0644_1.jpg,B2,0,318,254,80719,0.0657,1.2544,6,DAMIMAS,right,15,0.9966,5.1670,B2 terlalu besar dibanding distribusi kelasnya
val,DAMIMAS_A21B_0703_3.jpg,B2,0,263,302,79394,0.0646,0.8700,5,DAMIMAS,right,16,0.9963,5.0657,B2 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0710_2.jpg,B2,0,256,305,78006,0.0635,0.8395,4,DAMIMAS,right,17,0.9961,4.9597,B2 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0695_4.jpg,B2,0,245,317,77603,0.0632,0.7729,6,DAMIMAS,right,18,0.9958,4.9289,B2 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0721_3.jpg,B2,4,329,236,77582,0.0631,1.3980,8,DAMIMAS,right,19,0.9956,4.9273,B2 terlalu besar dibanding distribusi kelasnya
val,DAMIMAS_A21B_0609_3.jpg,B2,0,306,254,77536,0.0631,1.2049,5,DAMIMAS,right,20,0.9953,4.9238,B2 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0679_2.jpg,B2,0,279,278,77353,0.0630,1.0032,6,DAMIMAS,right,21,0.9951,4.9098,B2 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0610_3.jpg,B2,0,284,272,77126,0.0628,1.0433,6,DAMIMAS,right,22,0.9948,4.8924,B2 terlalu besar dibanding distribusi kelasnya
val,DAMIMAS_A21B_0683_2.jpg,B2,3,276,279,76862,0.0626,0.9885,7,DAMIMAS,right,23,0.9946,4.8723,B2 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0256_1.jpg,B2,0,282,271,76496,0.0623,1.0391,1,DAMIMAS,right,24,0.9944,4.8443,B2 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0007_2.jpg,B3,8,0,0,0,0.0000,0.0000,10,DAMIMAS,left,1,0.0000,1.0000,B3 terlalu kecil dibanding distribusi kelasnya
test,DAMIMAS_A21B_0546_1.jpg,B3,7,17,24,404,0.0003,0.7105,8,DAMIMAS,left,2,0.0001,0.9659,B3 terlalu kecil dibanding distribusi kelasnya
val,DAMIMAS_A21B_0122_1.jpg,B3,2,23,26,598,0.0005,0.9149,3,DAMIMAS,left,3,0.0002,0.9495,B3 terlalu kecil dibanding distribusi kelasnya
val,LONSUM_A21A_0091_1.jpg,B3,2,22,28,622,0.0005,0.7966,5,LONSUM,left,4,0.0004,0.9475,B3 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0433_3.jpg,B3,5,42,20,814,0.0007,2.1343,6,DAMIMAS,left,5,0.0005,0.9313,B3 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0696_2.jpg,B3,4,47,18,856,0.0007,2.5406,5,DAMIMAS,left,6,0.0006,0.9278,B3 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0757_3.jpg,B3,4,23,37,871,0.0007,0.6308,5,DAMIMAS,left,7,0.0007,0.9265,B3 terlalu kecil dibanding distribusi kelasnya
train,LONSUM_A21A_0096_2.jpg,B3,1,34,26,875,0.0007,1.3012,4,LONSUM,left,8,0.0008,0.9261,B3 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0676_2.jpg,B3,7,21,44,913,0.0007,0.4667,8,DAMIMAS,left,9,0.0010,0.9230,B3 terlalu kecil dibanding distribusi kelasnya
val,DAMIMAS_A21B_0557_3.jpg,B3,6,34,27,930,0.0008,1.2742,7,DAMIMAS,left,10,0.0011,0.9215,B3 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0354_2.jpg,B3,4,31,30,932,0.0008,1.0068,8,DAMIMAS,left,11,0.0012,0.9214,B3 terlalu kecil dibanding distribusi kelasnya
test,DAMIMAS_A21B_0449_3.jpg,B3,5,25,38,938,0.0008,0.6438,6,DAMIMAS,left,12,0.0013,0.9208,B3 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0354_1.jpg,B3,7,35,28,985,0.0008,1.2222,9,DAMIMAS,left,13,0.0014,0.9169,B3 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0815_7.jpg,B3,6,26,39,1011,0.0008,0.6522,7,DAMIMAS,left,14,0.0016,0.9147,B3 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0198_3.jpg,B3,3,21,48,1013,0.0008,0.4368,4,DAMIMAS,left,15,0.0017,0.9145,B3 terlalu kecil dibanding distribusi kelasnya
val,DAMIMAS_A21B_0762_3.jpg,B3,1,20,51,1014,0.0008,0.3932,2,DAMIMAS,left,16,0.0018,0.9144,B3 terlalu kecil dibanding distribusi kelasnya
val,DAMIMAS_A21B_0342_3.jpg,B3,3,21,49,1014,0.0008,0.4195,7,DAMIMAS,left,17,0.0019,0.9144,B3 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0341_3.jpg,B3,4,25,42,1049,0.0009,0.5986,5,DAMIMAS,left,18,0.0020,0.9115,B3 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0481_1.jpg,B3,1,30,35,1059,0.0009,0.8649,4,DAMIMAS,left,19,0.0022,0.9106,B3 terlalu kecil dibanding distribusi kelasnya
test,DAMIMAS_A21B_0616_3.jpg,B3,1,34,31,1062,0.0009,1.0789,6,DAMIMAS,left,20,0.0023,0.9104,B3 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0470_3.jpg,B3,5,20,54,1068,0.0009,0.3667,6,DAMIMAS,left,21,0.0024,0.9098,B3 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0350_4.jpg,B3,1,25,43,1074,0.0009,0.5714,4,DAMIMAS,left,22,0.0025,0.9094,B3 terlalu kecil dibanding distribusi kelasnya
train,LONSUM_A21A_0035_1.jpg,B3,3,25,44,1075,0.0009,0.5679,4,LONSUM,left,23,0.0027,0.9093,B3 terlalu kecil dibanding distribusi kelasnya
val,DAMIMAS_A21B_0485_3.jpg,B3,2,36,30,1084,0.0009,1.2223,6,DAMIMAS,left,24,0.0028,0.9085,B3 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0597_3.jpg,B3,0,373,307,114644,0.0933,1.2128,4,DAMIMAS,right,1,1.0000,8.6752,B3 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0692_3.jpg,B3,4,313,341,106761,0.0869,0.9190,6,DAMIMAS,right,2,0.9999,8.0099,B3 terlalu besar dibanding distribusi kelasnya
val,DAMIMAS_A21B_0708_2.jpg,B3,1,311,343,106531,0.0867,0.9063,7,DAMIMAS,right,3,0.9998,7.9905,B3 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0707_4.jpg,B3,5,342,307,104915,0.0854,1.1145,6,DAMIMAS,right,4,0.9996,7.8542,B3 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0597_2.jpg,B3,0,311,331,103176,0.0840,0.9393,3,DAMIMAS,right,5,0.9995,7.7074,B3 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0707_3.jpg,B3,3,325,303,98427,0.0801,1.0737,6,DAMIMAS,right,6,0.9994,7.3065,B3 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0790_2.jpg,B3,2,259,373,96600,0.0786,0.6931,3,DAMIMAS,right,7,0.9993,7.1524,B3 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0644_3.jpg,B3,3,332,290,96353,0.0784,1.1441,5,DAMIMAS,right,8,0.9992,7.1315,B3 terlalu besar dibanding distribusi kelasnya
val,DAMIMAS_A21B_0649_1.jpg,B3,1,287,327,93792,0.0763,0.8793,4,DAMIMAS,right,9,0.9990,6.9154,B3 terlalu besar dibanding distribusi kelasnya
val,DAMIMAS_A21B_0795_3.jpg,B3,0,315,293,92316,0.0751,1.0756,1,DAMIMAS,right,10,0.9989,6.7908,B3 terlalu besar dibanding distribusi kelasnya
test,DAMIMAS_A21B_0713_3.jpg,B3,3,266,332,88340,0.0719,0.8009,4,DAMIMAS,right,11,0.9988,6.4553,B3 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0597_4.jpg,B3,0,284,310,88065,0.0717,0.9183,4,DAMIMAS,right,12,0.9987,6.4321,B3 terlalu besar dibanding distribusi kelasnya
val,DAMIMAS_A21B_0708_3.jpg,B3,3,337,260,87733,0.0714,1.2961,7,DAMIMAS,right,13,0.9986,6.4041,B3 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0799_4.jpg,B3,1,280,310,86826,0.0707,0.9016,3,DAMIMAS,right,14,0.9984,6.3276,B3 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0688_2.jpg,B3,3,294,288,84716,0.0689,1.0186,6,DAMIMAS,right,15,0.9983,6.1494,B3 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0606_3.jpg,B3,0,243,348,84542,0.0688,0.6992,4,DAMIMAS,right,16,0.9982,6.1347,B3 terlalu besar dibanding distribusi kelasnya
test,DAMIMAS_A21B_0687_1.jpg,B3,3,276,299,82486,0.0671,0.9256,5,DAMIMAS,right,17,0.9981,5.9612,B3 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0596_4.jpg,B3,2,271,303,82014,0.0667,0.8935,7,DAMIMAS,right,18,0.9980,5.9214,B3 terlalu besar dibanding distribusi kelasnya
val,DAMIMAS_A21B_0684_3.jpg,B3,3,304,267,81243,0.0661,1.1359,6,DAMIMAS,right,19,0.9978,5.8564,B3 terlalu besar dibanding distribusi kelasnya
val,DAMIMAS_A21B_0796_4.jpg,B3,0,271,299,81186,0.0661,0.9075,4,DAMIMAS,right,20,0.9977,5.8516,B3 terlalu besar dibanding distribusi kelasnya
test,DAMIMAS_A21B_0616_4.jpg,B3,2,278,286,79392,0.0646,0.9725,6,DAMIMAS,right,21,0.9976,5.7001,B3 terlalu besar dibanding distribusi kelasnya
val,DAMIMAS_A21B_0649_4.jpg,B3,0,253,312,78872,0.0642,0.8126,5,DAMIMAS,right,22,0.9975,5.6562,B3 terlalu besar dibanding distribusi kelasnya
test,DAMIMAS_A21B_0642_4.jpg,B3,2,256,302,77365,0.0630,0.8485,4,DAMIMAS,right,23,0.9973,5.5291,B3 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0600_1.jpg,B3,4,248,312,77331,0.0629,0.7938,7,DAMIMAS,right,24,0.9972,5.5262,B3 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0345_4.jpg,B4,3,21,28,574,0.0005,0.7429,4,DAMIMAS,left,1,0.0000,0.9352,B4 terlalu kecil dibanding distribusi kelasnya
test,DAMIMAS_A21B_0442_1.jpg,B4,6,18,35,629,0.0005,0.5125,7,DAMIMAS,left,2,0.0003,0.9291,B4 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0498_3.jpg,B4,4,23,34,795,0.0006,0.6761,7,DAMIMAS,left,3,0.0006,0.9103,B4 terlalu kecil dibanding distribusi kelasnya
test,DAMIMAS_A21B_0222_4.jpg,B4,6,24,34,805,0.0007,0.7054,7,DAMIMAS,left,4,0.0009,0.9092,B4 terlalu kecil dibanding distribusi kelasnya
val,DAMIMAS_A21B_0342_1.jpg,B4,5,41,20,815,0.0007,2.0482,8,DAMIMAS,left,5,0.0012,0.9081,B4 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0668_3.jpg,B4,6,30,30,893,0.0007,1.0132,8,DAMIMAS,left,6,0.0015,0.8993,B4 terlalu kecil dibanding distribusi kelasnya
