split,filename,domain,objects_in_image,B1,B2,B3,B4
train,DAMIMAS_A21B_0506_2.jpg,DAMIMAS,8,1,0,4,3
train,DAMIMAS_A21B_0515_3.jpg,DAMIMAS,8,2,2,3,1
val,DAMIMAS_A21B_0518_2.jpg,DAMIMAS,8,0,1,4,3
train,DAMIMAS_A21B_0531_1.jpg,DAMIMAS,8,1,2,4,1
train,DAMIMAS_A21B_0531_2.jpg,DAMIMAS,8,2,2,2,2
train,DAMIMAS_A21B_0539_3.jpg,DAMIMAS,8,2,1,4,1
test,DAMIMAS_A21B_0546_1.jpg,DAMIMAS,8,1,2,2,3
test,DAMIMAS_A21B_0546_2.jpg,DAMIMAS,8,0,4,2,2
val,DAMIMAS_A21B_0550_2.jpg,DAMIMAS,8,1,3,1,3
test,DAMIMAS_A21B_0551_2.jpg,DAMIMAS,8,2,2,2,2
test,DAMIMAS_A21B_0551_3.jpg,DAMIMAS,8,1,2,4,1
test,DAMIMAS_A21B_0551_4.jpg,DAMIMAS,8,2,2,3,1
test,DAMIMAS_A21B_0554_2.jpg,DAMIMAS,8,1,1,3,3
test,DAMIMAS_A21B_0554_4.jpg,DAMIMAS,8,1,3,2,2
train,DAMIMAS_A21B_0571_4.jpg,DAMIMAS,8,2,2,3,1
train,DAMIMAS_A21B_0579_2.jpg,DAMIMAS,8,3,2,3,0
train,DAMIMAS_A21B_0589_3.jpg,DAMIMAS,8,0,2,4,2
train,DAMIMAS_A21B_0600_2.jpg,DAMIMAS,8,2,1,4,1
train,DAMIMAS_A21B_0600_4.jpg,DAMIMAS,8,1,1,3,3
train,DAMIMAS_A21B_0602_4.jpg,DAMIMAS,8,1,3,2,2
train,DAMIMAS_A21B_0621_2.jpg,DAMIMAS,8,2,1,4,1
train,DAMIMAS_A21B_0625_4.jpg,DAMIMAS,8,0,2,4,2
train,DAMIMAS_A21B_0626_2.jpg,DAMIMAS,8,0,3,2,3
train,DAMIMAS_A21B_0632_1.jpg,DAMIMAS,8,1,2,3,2
train,DAMIMAS_A21B_0634_1.jpg,DAMIMAS,8,2,3,1,2
train,DAMIMAS_A21B_0635_4.jpg,DAMIMAS,8,2,3,2,1
test,DAMIMAS_A21B_0654_2.jpg,DAMIMAS,8,0,2,3,3
train,DAMIMAS_A21B_0664_3.jpg,DAMIMAS,8,1,0,5,2
train,DAMIMAS_A21B_0668_3.jpg,DAMIMAS,8,1,1,2,4
train,DAMIMAS_A21B_0669_2.jpg,DAMIMAS,8,1,0,6,1
train,DAMIMAS_A21B_0676_2.jpg,DAMIMAS,8,1,1,3,3
train,DAMIMAS_A21B_0677_1.jpg,DAMIMAS,8,0,2,4,2
train,DAMIMAS_A21B_0680_1.jpg,DAMIMAS,8,0,1,5,2
train,DAMIMAS_A21B_0681_2.jpg,DAMIMAS,8,1,0,5,2
val,DAMIMAS_A21B_0683_1.jpg,DAMIMAS,8,1,0,4,3
val,DAMIMAS_A21B_0683_4.jpg,DAMIMAS,8,1,1,4,2
train,DAMIMAS_A21B_0701_2.jpg,DAMIMAS,8,0,0,7,1
val,DAMIMAS_A21B_0708_1.jpg,DAMIMAS,8,1,1,4,2
test,DAMIMAS_A21B_0716_1.jpg,DAMIMAS,8,1,1,4,2
train,DAMIMAS_A21B_0721_3.jpg,DAMIMAS,8,0,3,4,1
train,DAMIMAS_A21B_0723_3.jpg,DAMIMAS,8,0,2,4,2
test,DAMIMAS_A21B_0727_3.jpg,DAMIMAS,8,1,0,5,2
test,DAMIMAS_A21B_0727_4.jpg,DAMIMAS,8,2,0,4,2
train,DAMIMAS_A21B_0729_3.jpg,DAMIMAS,8,3,0,5,0
val,DAMIMAS_A21B_0745_1.jpg,DAMIMAS,8,1,0,2,5
train,DAMIMAS_A21B_0747_1.jpg,DAMIMAS,8,0,2,3,3
train,DAMIMAS_A21B_0747_4.jpg,DAMIMAS,8,0,1,4,3
test,DAMIMAS_A21B_0749_1.jpg,DAMIMAS,8,2,1,4,1
train,DAMIMAS_A21B_0815_5.jpg,DAMIMAS,8,1,0,5,2
train,DAMIMAS_A21B_0819_6.jpg,DAMIMAS,8,0,1,7,0
train,DAMIMAS_A21B_0823_6.jpg,DAMIMAS,8,2,0,2,4
train,DAMIMAS_A21B_0851_1.jpg,DAMIMAS,8,0,2,5,1
