split,source,tree_id,views,images,total_objects,mean_objects_per_view,std_objects_per_view,distinct_combos,empty_views,cv_objects_per_view,B1,B2,B3,B4
test,DAMIMAS,DAMIMAS_A21B_0092,4,4,19,4.75,0.9574271077563381,3,0,0.20156360159047884,1.0,3.0,8.0,7.0
test,DAMIMAS,DAMIMAS_A21B_0093,4,4,17,4.25,1.2583057392117918,2,0,0.2960719385684047,0.0,1.0,11.0,5.0
test,DAMIMAS,DAMIMAS_A21B_0095,4,4,15,3.75,0.5,2,0,0.13333333329777777,4.0,10.0,1.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0097,4,4,22,5.5,0.5773502691896257,3,0,0.10497277619720963,1.0,5.0,14.0,2.0
test,DAMIMAS,DAMIMAS_A21B_0103,4,4,28,7.0,1.4142135623730951,2,0,0.20203050888158067,3.0,19.0,6.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0113,4,4,8,2.0,1.4142135623730951,2,0,0.7071067808329942,0.0,1.0,6.0,1.0
test,DAMIMAS,DAMIMAS_A21B_0116,4,4,23,5.75,1.5,2,0,0.2608695651720227,1.0,5.0,8.0,9.0
test,DAMIMAS,DAMIMAS_A21B_0122,4,4,10,2.5,1.2909944487358056,3,0,0.5163977792877631,3.0,0.0,3.0,4.0
test,DAMIMAS,DAMIMAS_A21B_0123,4,4,17,4.25,0.957427107756338,2,0,0.22527696647789672,6.0,9.0,2.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0126,4,4,16,4.0,0.816496580927726,3,0,0.20412414518090047,3.0,2.0,6.0,5.0
test,DAMIMAS,DAMIMAS_A21B_0138,4,4,14,3.5,0.5773502691896257,3,0,0.16495721972133387,2.0,2.0,6.0,4.0
test,DAMIMAS,DAMIMAS_A21B_0140,4,4,26,6.5,0.5773502691896257,3,0,0.0888231183232004,6.0,4.0,6.0,10.0
test,DAMIMAS,DAMIMAS_A21B_0147,4,4,24,6.0,0.8164965809277259,2,0,0.13608276346527387,4.0,11.0,6.0,3.0
test,DAMIMAS,DAMIMAS_A21B_0148,4,4,17,4.25,0.9574271077563382,1,0,0.22527696647789677,5.0,0.0,6.0,6.0
test,DAMIMAS,DAMIMAS_A21B_0149,4,4,23,5.75,1.2583057392117916,4,0,0.21883578069442708,2.0,2.0,16.0,3.0
test,DAMIMAS,DAMIMAS_A21B_0151,4,4,23,5.75,0.4999999999999999,3,0,0.08695652172400754,2.0,13.0,7.0,1.0
test,DAMIMAS,DAMIMAS_A21B_0178,4,4,19,4.75,0.4999999999999999,3,0,0.10526315787257615,2.0,3.0,5.0,9.0
test,DAMIMAS,DAMIMAS_A21B_0195,4,4,19,4.75,0.957427107756338,2,0,0.2015636015904788,8.0,8.0,3.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0198,4,4,17,4.25,1.2583057392117916,2,0,0.29607193856840464,2.0,0.0,12.0,3.0
test,DAMIMAS,DAMIMAS_A21B_0204,4,4,19,4.75,0.9574271077563381,3,0,0.20156360159047884,5.0,4.0,6.0,4.0
test,DAMIMAS,DAMIMAS_A21B_0205,4,4,15,3.75,0.5,2,0,0.13333333329777777,0.0,1.0,14.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0220,4,4,9,2.25,0.49999999999999994,4,0,0.22222222212345677,2.0,3.0,3.0,1.0
test,DAMIMAS,DAMIMAS_A21B_0226,4,4,13,3.25,0.9574271077563381,2,0,0.2945929561420754,0.0,0.0,11.0,2.0
test,DAMIMAS,DAMIMAS_A21B_0246,4,4,21,5.25,1.5000000000000002,3,0,0.285714285659864,1.0,6.0,9.0,5.0
test,DAMIMAS,DAMIMAS_A21B_0254,4,4,18,4.5,3.0,3,0,0.6666666665185185,0.0,3.0,9.0,6.0
test,DAMIMAS,DAMIMAS_A21B_0256,4,4,3,0.75,0.5,3,1,0.6666666657777778,0.0,2.0,1.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0261,4,4,26,6.5,0.5773502691896257,3,0,0.0888231183232004,5.0,5.0,12.0,4.0
test,DAMIMAS,DAMIMAS_A21B_0266,4,4,21,5.25,0.9574271077563382,3,0,0.18236706810932785,3.0,5.0,12.0,1.0
test,DAMIMAS,DAMIMAS_A21B_0271,4,4,21,5.25,0.957427107756338,2,0,0.1823670681093278,0.0,9.0,9.0,3.0
test,DAMIMAS,DAMIMAS_A21B_0284,4,4,16,4.0,0.816496580927726,3,0,0.20412414518090047,3.0,4.0,4.0,5.0
test,DAMIMAS,DAMIMAS_A21B_0287,4,4,14,3.5,1.0,1,0,0.28571428563265305,6.0,8.0,0.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0289,4,4,14,3.5,1.0,3,0,0.28571428563265305,3.0,3.0,8.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0315,4,4,23,5.75,0.4999999999999999,2,0,0.08695652172400754,2.0,11.0,10.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0319,4,4,15,3.75,0.957427107756338,1,0,0.25531389533360643,0.0,9.0,6.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0323,4,4,13,3.25,0.5,2,0,0.15384615379881655,0.0,11.0,2.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0335,4,4,12,3.0,1.4142135623730951,2,0,0.4714045206338969,6.0,6.0,0.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0337,4,4,16,4.0,0.816496580927726,2,0,0.20412414518090047,0.0,1.0,11.0,4.0
test,DAMIMAS,DAMIMAS_A21B_0339,4,4,13,3.25,1.707825127659933,3,0,0.5254846545029072,4.0,6.0,3.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0345,4,4,14,3.5,0.5773502691896257,3,0,0.16495721972133387,2.0,4.0,7.0,1.0
test,DAMIMAS,DAMIMAS_A21B_0360,4,4,30,7.5,1.7320508075688774,3,0,0.23094010764505832,9.0,4.0,6.0,11.0
test,DAMIMAS,DAMIMAS_A21B_0361,4,4,24,6.0,0.816496580927726,2,0,0.13608276346527387,4.0,4.0,10.0,6.0
test,DAMIMAS,DAMIMAS_A21B_0363,4,4,15,3.75,0.9574271077563381,3,0,0.25531389533360643,0.0,11.0,2.0,2.0
test,DAMIMAS,DAMIMAS_A21B_0364,4,4,27,6.75,0.5,3,0,0.07407407406310014,4.0,9.0,9.0,5.0
test,DAMIMAS,DAMIMAS_A21B_0399,4,4,17,4.25,1.7078251276599332,3,0,0.4018412064136687,6.0,7.0,3.0,1.0
test,DAMIMAS,DAMIMAS_A21B_0407,4,4,23,5.75,0.5,3,0,0.08695652172400756,3.0,8.0,10.0,2.0
test,DAMIMAS,DAMIMAS_A21B_0410,4,4,31,7.75,0.4999999999999999,2,0,0.06451612902393339,5.0,2.0,18.0,6.0
test,DAMIMAS,DAMIMAS_A21B_0414,4,4,13,3.25,0.5,1,0,0.15384615379881655,0.0,0.0,13.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0421,4,4,0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0425,4,4,20,5.0,0.816496580927726,3,0,0.16329931615288534,0.0,5.0,13.0,2.0
test,DAMIMAS,DAMIMAS_A21B_0427,4,4,26,6.5,1.0,3,0,0.1538461538224852,1.0,14.0,10.0,1.0
test,DAMIMAS,DAMIMAS_A21B_0432,4,4,14,3.5,1.2909944487358056,2,0,0.36885555667627146,0.0,5.0,7.0,2.0
test,DAMIMAS,DAMIMAS_A21B_0441,4,4,19,4.75,1.5,4,0,0.3157894736177285,2.0,3.0,12.0,2.0
test,DAMIMAS,DAMIMAS_A21B_0445,4,4,18,4.5,1.2909944487358056,3,0,0.2868876552108707,3.0,3.0,8.0,4.0
test,DAMIMAS,DAMIMAS_A21B_0449,4,4,23,5.75,1.2583057392117916,3,0,0.21883578069442708,0.0,5.0,17.0,1.0
test,DAMIMAS,DAMIMAS_A21B_0462,4,4,20,5.0,1.8257418583505538,2,0,0.3651483715970811,6.0,0.0,11.0,3.0
test,DAMIMAS,DAMIMAS_A21B_0469,4,4,20,5.0,0.816496580927726,1,0,0.16329931615288534,0.0,5.0,11.0,4.0
test,DAMIMAS,DAMIMAS_A21B_0474,4,4,22,5.5,0.5773502691896257,3,0,0.10497277619720963,4.0,4.0,8.0,6.0
test,DAMIMAS,DAMIMAS_A21B_0478,4,4,27,6.75,0.9574271077563381,2,0,0.1418410529799255,6.0,3.0,8.0,10.0
test,DAMIMAS,DAMIMAS_A21B_0489,4,4,20,5.0,1.1547005383792515,2,0,0.23094010762966227,0.0,0.0,17.0,3.0
test,DAMIMAS,DAMIMAS_A21B_0493,4,4,19,4.75,0.5,2,0,0.10526315787257617,2.0,7.0,6.0,4.0
test,DAMIMAS,DAMIMAS_A21B_0507,4,4,17,4.25,0.5,1,0,0.11764705879584775,0.0,9.0,8.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0525,4,4,13,3.25,1.2583057392117916,2,0,0.3871709965614217,2.0,3.0,8.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0541,4,4,14,3.5,1.2909944487358056,3,0,0.36885555667627146,4.0,1.0,6.0,3.0
test,DAMIMAS,DAMIMAS_A21B_0545,4,4,23,5.75,1.2583057392117916,2,0,0.21883578069442708,2.0,0.0,17.0,4.0
test,DAMIMAS,DAMIMAS_A21B_0547,4,4,24,6.0,0.816496580927726,2,0,0.13608276346527387,3.0,12.0,9.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0553,4,4,20,5.0,0.8164965809277259,3,0,0.16329931615288532,3.0,3.0,10.0,4.0
test,DAMIMAS,DAMIMAS_A21B_0559,4,4,9,2.25,1.2583057392117916,1,0,0.5592469949566865,0.0,0.0,0.0,9.0
test,DAMIMAS,DAMIMAS_A21B_0566,4,4,27,6.75,0.5,3,0,0.07407407406310014,2.0,11.0,9.0,5.0
test,DAMIMAS,DAMIMAS_A21B_0568,4,4,22,5.5,0.5773502691896257,3,0,0.10497277619720963,5.0,5.0,7.0,5.0
test,DAMIMAS,DAMIMAS_A21B_0571,4,4,24,6.0,1.4142135623730951,2,0,0.23570226035623215,6.0,7.0,10.0,1.0
test,DAMIMAS,DAMIMAS_A21B_0583,4,4,6,1.5,0.5773502691896257,2,0,0.38490017920315034,2.0,4.0,0.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0588,4,4,21,5.25,0.9574271077563381,2,0,0.18236706810932782,6.0,4.0,6.0,5.0
test,DAMIMAS,DAMIMAS_A21B_0593,4,4,5,1.25,0.5,2,0,0.39999999968,0.0,0.0,2.0,3.0
test,DAMIMAS,DAMIMAS_A21B_0594,4,4,25,6.25,0.9574271077563382,2,0,0.153188337216504,6.0,9.0,6.0,4.0
test,DAMIMAS,DAMIMAS_A21B_0631,4,4,10,2.5,1.2909944487358056,2,0,0.5163977792877631,0.0,5.0,5.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0636,4,4,19,4.75,1.2583057392117916,3,0,0.26490647135723894,0.0,2.0,12.0,5.0
test,DAMIMAS,DAMIMAS_A21B_0637,4,4,8,2.0,0.816496580927726,4,0,0.40824829025973886,2.0,0.0,5.0,1.0
test,DAMIMAS,DAMIMAS_A21B_0638,4,4,21,5.25,0.5,2,0,0.09523809521995465,7.0,6.0,5.0,3.0
test,DAMIMAS,DAMIMAS_A21B_0641,4,4,26,6.5,1.0,2,0,0.1538461538224852,5.0,5.0,10.0,6.0
test,DAMIMAS,DAMIMAS_A21B_0648,4,4,19,4.75,0.4999999999999999,2,0,0.10526315787257615,0.0,0.0,15.0,4.0
test,DAMIMAS,DAMIMAS_A21B_0650,4,4,20,5.0,1.414213562373095,3,0,0.2828427124180504,3.0,4.0,9.0,4.0
test,DAMIMAS,DAMIMAS_A21B_0662,4,4,4,1.0,0.816496580927726,3,1,0.8164965801112294,0.0,0.0,1.0,3.0
test,DAMIMAS,DAMIMAS_A21B_0681,4,4,28,7.0,0.8164965809277259,2,0,0.11664236868729765,2.0,3.0,17.0,6.0
test,DAMIMAS,DAMIMAS_A21B_0684,4,4,26,6.5,1.7320508075688772,2,0,0.2664693549696012,0.0,4.0,18.0,4.0
test,DAMIMAS,DAMIMAS_A21B_0685,4,4,23,5.75,0.4999999999999999,2,0,0.08695652172400754,4.0,1.0,12.0,6.0
test,DAMIMAS,DAMIMAS_A21B_0714,4,4,14,3.5,1.2909944487358054,3,0,0.36885555667627135,0.0,2.0,6.0,6.0
test,DAMIMAS,DAMIMAS_A21B_0715,4,4,25,6.25,0.5,4,0,0.0799999999872,3.0,4.0,14.0,4.0
test,DAMIMAS,DAMIMAS_A21B_0724,4,4,16,4.0,0.816496580927726,4,0,0.20412414518090047,4.0,2.0,9.0,1.0
test,DAMIMAS,DAMIMAS_A21B_0728,4,4,27,6.75,0.4999999999999999,1,0,0.07407407406310013,4.0,0.0,14.0,9.0
test,DAMIMAS,DAMIMAS_A21B_0743,4,4,14,3.5,0.5773502691896257,1,0,0.16495721972133387,0.0,0.0,7.0,7.0
test,DAMIMAS,DAMIMAS_A21B_0753,4,4,17,4.25,0.9574271077563381,2,0,0.22527696647789675,3.0,1.0,13.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0755,4,4,18,4.5,1.0,3,0,0.2222222221728395,2.0,3.0,9.0,4.0
test,DAMIMAS,DAMIMAS_A21B_0756,4,4,24,6.0,0.816496580927726,1,0,0.13608276346527387,0.0,0.0,19.0,5.0
test,DAMIMAS,DAMIMAS_A21B_0757,4,4,22,5.5,0.5773502691896257,3,0,0.10497277619720963,1.0,2.0,19.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0763,4,4,2,0.5,0.5773502691896257,2,2,1.1547005360698503,0.0,0.0,2.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0768,4,4,15,3.75,0.5,2,0,0.13333333329777777,4.0,3.0,8.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0779,4,4,14,3.5,0.5773502691896257,4,0,0.16495721972133387,3.0,2.0,8.0,1.0
test,DAMIMAS,DAMIMAS_A21B_0781,4,4,22,5.5,1.0,2,0,0.18181818178512396,1.0,9.0,6.0,6.0
test,DAMIMAS,DAMIMAS_A21B_0783,4,4,23,5.75,0.4999999999999999,4,0,0.08695652172400754,3.0,3.0,14.0,3.0
test,DAMIMAS,DAMIMAS_A21B_0791,4,4,9,2.25,0.5,2,0,0.22222222212345677,0.0,3.0,6.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0806,4,4,11,2.75,0.9574271077563381,3,0,0.34815531178479375,2.0,1.0,7.0,1.0
test,DAMIMAS,DAMIMAS_A21B_0808,4,4,22,5.5,0.5773502691896257,3,0,0.10497277619720963,4.0,4.0,6.0,8.0
test,DAMIMAS,DAMIMAS_A21B_0814,8,8,24,3.0,0.7559289460184544,2,0,0.2519763152554927,0.0,0.0,20.0,4.0
test,DAMIMAS,DAMIMAS_A21B_0816,8,8,45,5.625,1.5059406173077154,4,0,0.26772277636266534,5.0,12.0,25.0,3.0
test,DAMIMAS,DAMIMAS_A21B_0822,8,8,38,4.75,0.7071067811865475,4,0,0.14886458548161743,4.0,3.0,29.0,2.0
test,DAMIMAS,DAMIMAS_A21B_0828,8,8,49,6.125,0.8345229603962803,3,0,0.13624864657306637,5.0,15.0,28.0,1.0
test,DAMIMAS,DAMIMAS_A21B_0832,8,8,37,4.625,0.5175491695067655,3,0,0.11190252311240281,0.0,8.0,28.0,1.0
test,DAMIMAS,DAMIMAS_A21B_0837,8,8,35,4.375,0.7440238091428449,4,0,0.17006258490806453,8.0,3.0,21.0,3.0
test,DAMIMAS,DAMIMAS_A21B_0840,8,8,45,5.625,0.7440238091428449,3,0,0.1322708993796576,5.0,21.0,18.0,1.0
test,DAMIMAS,DAMIMAS_A21B_0846,8,8,26,3.25,0.46291004988627565,2,0,0.14243386145964362,0.0,12.0,14.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0851,8,8,51,6.375,1.0606601717798212,2,0,0.16637806613544207,0.0,15.0,32.0,4.0
test,LONSUM,LONSUM_A21A_0003,4,4,16,4.0,1.4142135623730951,2,0,0.35355339050488543,0.0,0.0,8.0,8.0
test,LONSUM,LONSUM_A21A_0025,4,4,5,1.25,0.5,3,0,0.39999999968,0.0,0.0,2.0,3.0
test,LONSUM,LONSUM_A21A_0042,4,4,4,1.0,0.816496580927726,3,1,0.8164965801112294,0.0,0.0,3.0,1.0
test,LONSUM,LONSUM_A21A_0050,4,4,18,4.5,1.7320508075688772,2,0,0.3849001793742171,0.0,9.0,5.0,4.0
test,LONSUM,LONSUM_A21A_0052,4,4,7,1.75,1.2583057392117918,2,1,0.7190318505672914,0.0,0.0,7.0,0.0
test,LONSUM,LONSUM_A21A_0056,4,4,12,3.0,0.0,1,0,0.0,0.0,0.0,12.0,0.0
test,LONSUM,LONSUM_A21A_0059,4,4,19,4.75,1.707825127659933,3,0,0.35954213206324015,0.0,1.0,14.0,4.0
test,LONSUM,LONSUM_A21A_0060,4,4,12,3.0,0.0,2,0,0.0,0.0,3.0,9.0,0.0
test,LONSUM,LONSUM_A21A_0062,4,4,14,3.5,0.5773502691896257,2,0,0.16495721972133387,0.0,5.0,7.0,2.0
test,LONSUM,LONSUM_A21A_0070,4,4,12,3.0,0.816496580927726,3,0,0.2721655268851868,0.0,5.0,5.0,2.0
test,LONSUM,LONSUM_A21A_0076,4,4,12,3.0,1.1547005383792515,2,0,0.38490017933145043,0.0,1.0,11.0,0.0
test,LONSUM,LONSUM_A21A_0087,4,4,9,2.25,0.49999999999999994,1,0,0.22222222212345677,0.0,0.0,9.0,0.0
test,LONSUM,LONSUM_A21A_0091,4,4,16,4.0,0.8164965809277259,3,0,0.20412414518090044,0.0,1.0,13.0,2.0
test,LONSUM,LONSUM_A21A_0095,4,4,12,3.0,0.816496580927726,3,0,0.2721655268851868,0.0,2.0,6.0,4.0
train,DAMIMAS,DAMIMAS_A21B_0001,4,4,17,4.25,0.4999999999999999,2,0,0.11764705879584772,2.0,5.0,10.0,0.0
train,DAMIMAS,DAMIMAS_A21B_0003,4,4,20,5.0,0.0,4,0,0.0,1.0,4.0,11.0,4.0
train,DAMIMAS,DAMIMAS_A21B_0004,4,4,13,3.25,0.5,2,0,0.15384615379881655,0.0,3.0,10.0,0.0
train,DAMIMAS,DAMIMAS_A21B_0005,4,4,15,3.75,1.2583057392117916,3,0,0.3355481970336649,1.0,6.0,6.0,2.0
train,DAMIMAS,DAMIMAS_A21B_0006,4,4,15,3.75,0.957427107756338,3,0,0.25531389533360643,1.0,1.0,7.0,6.0
train,DAMIMAS,DAMIMAS_A21B_0007,4,4,29,7.25,1.2583057392117916,3,0,0.17355941228113547,6.0,10.0,10.0,3.0
train,DAMIMAS,DAMIMAS_A21B_0009,4,4,10,2.5,0.5773502691896257,2,0,0.23094010758347425,0.0,1.0,6.0,3.0
train,DAMIMAS,DAMIMAS_A21B_0011,4,4,13,3.25,1.2583057392117916,3,0,0.3871709965614217,3.0,7.0,2.0,1.0
train,DAMIMAS,DAMIMAS_A21B_0012,4,4,15,3.75,1.2583057392117916,3,0,0.3355481970336649,4.0,6.0,2.0,3.0
train,DAMIMAS,DAMIMAS_A21B_0013,4,4,17,4.25,0.5,2,0,0.11764705879584775,1.0,4.0,7.0,5.0
train,DAMIMAS,DAMIMAS_A21B_0014,4,4,18,4.5,1.0,3,0,0.2222222221728395,2.0,2.0,9.0,5.0
train,DAMIMAS,DAMIMAS_A21B_0015,4,4,25,6.25,0.4999999999999999,1,0,0.07999999998719998,5.0,8.0,8.0,4.0
train,DAMIMAS,DAMIMAS_A21B_0016,4,4,8,2.0,0.816496580927726,4,0,0.40824829025973886,1.0,3.0,4.0,0.0
train,DAMIMAS,DAMIMAS_A21B_0017,4,4,16,4.0,0.8164965809277259,2,0,0.20412414518090044,2.0,0.0,9.0,5.0
train,DAMIMAS,DAMIMAS_A21B_0018,4,4,11,2.75,0.5,3,0,0.1818181817520661,2.0,0.0,8.0,1.0
train,DAMIMAS,DAMIMAS_A21B_0019,4,4,25,6.25,0.4999999999999999,3,0,0.07999999998719998,4.0,11.0,9.0,1.0
train,DAMIMAS,DAMIMAS_A21B_0020,4,4,15,3.75,0.49999999999999994,3,0,0.13333333329777777,2.0,5.0,4.0,4.0
train,DAMIMAS,DAMIMAS_A21B_0021,4,4,21,5.25,0.9574271077563381,3,0,0.18236706810932782,4.0,4.0,8.0,5.0
train,DAMIMAS,DAMIMAS_A21B_0022,4,4,14,3.5,1.0,2,0,0.28571428563265305,0.0,1.0,6.0,7.0
train,DAMIMAS,DAMIMAS_A21B_0023,4,4,16,4.0,0.816496580927726,1,0,0.20412414518090047,6.0,10.0,0.0,0.0
train,DAMIMAS,DAMIMAS_A21B_0024,4,4,19,4.75,0.4999999999999999,3,0,0.10526315787257615,3.0,4.0,6.0,6.0
train,DAMIMAS,DAMIMAS_A21B_0025,4,4,11,2.75,0.49999999999999994,2,0,0.1818181817520661,4.0,1.0,6.0,0.0
train,DAMIMAS,DAMIMAS_A21B_0027,4,4,19,4.75,0.9574271077563381,1,0,0.20156360159047884,7.0,12.0,0.0,0.0
train,DAMIMAS,DAMIMAS_A21B_0028,4,4,20,5.0,0.816496580927726,2,0,0.16329931615288534,0.0,1.0,10.0,9.0
train,DAMIMAS,DAMIMAS_A21B_0030,4,4,13,3.25,0.49999999999999994,1,0,0.15384615379881655,0.0,0.0,7.0,6.0
train,DAMIMAS,DAMIMAS_A21B_0031,4,4,12,3.0,1.632993161855452,3,0,0.5443310537703736,0.0,9.0,2.0,1.0
train,DAMIMAS,DAMIMAS_A21B_0032,4,4,21,5.25,0.9574271077563381,2,0,0.18236706810932782,3.0,3.0,11.0,4.0
train,DAMIMAS,DAMIMAS_A21B_0033,4,4,17,4.25,0.4999999999999999,2,0,0.11764705879584772,0.0,0.0,16.0,1.0
train,DAMIMAS,DAMIMAS_A21B_0035,4,4,12,3.0,1.1547005383792515,2,0,0.38490017933145043,0.0,11.0,1.0,0.0
train,DAMIMAS,DAMIMAS_A21B_0037,4,4,19,4.75,0.9574271077563381,2,0,0.20156360159047884,1.0,5.0,9.0,4.0
train,DAMIMAS,DAMIMAS_A21B_0038,4,4,20,5.0,0.8164965809277259,1,0,0.16329931615288532,4.0,0.0,6.0,10.0
train,DAMIMAS,DAMIMAS_A21B_0040,4,4,20,5.0,0.816496580927726,3,0,0.16329931615288534,5.0,2.0,10.0,3.0
train,DAMIMAS,DAMIMAS_A21B_0041,4,4,20,5.0,0.8164965809277259,3,0,0.16329931615288532,4.0,4.0,10.0,2.0
train,DAMIMAS,DAMIMAS_A21B_0043,4,4,23,5.75,0.5,2,0,0.08695652172400756,7.0,15.0,1.0,0.0
train,DAMIMAS,DAMIMAS_A21B_0044,4,4,15,3.75,0.49999999999999994,3,0,0.13333333329777777,4.0,5.0,5.0,1.0
train,DAMIMAS,DAMIMAS_A21B_0047,4,4,13,3.25,0.5,2,0,0.15384615379881655,5.0,7.0,1.0,0.0
train,DAMIMAS,DAMIMAS_A21B_0048,4,4,15,3.75,0.5,4,0,0.13333333329777777,3.0,4.0,6.0,2.0
train,DAMIMAS,DAMIMAS_A21B_0051,4,4,24,6.0,0.816496580927726,2,0,0.13608276346527387,1.0,21.0,2.0,0.0
train,DAMIMAS,DAMIMAS_A21B_0052,4,4,22,5.5,1.2909944487358056,2,0,0.2347262633638326,6.0,6.0,7.0,3.0
train,DAMIMAS,DAMIMAS_A21B_0054,4,4,20,5.0,0.816496580927726,3,0,0.16329931615288534,1.0,2.0,5.0,12.0
train,DAMIMAS,DAMIMAS_A21B_0055,4,4,21,5.25,0.5,2,0,0.09523809521995465,7.0,13.0,1.0,0.0
train,DAMIMAS,DAMIMAS_A21B_0058,4,4,15,3.75,0.5,2,0,0.13333333329777777,5.0,0.0,4.0,6.0
train,DAMIMAS,DAMIMAS_A21B_0059,4,4,8,2.0,0.816496580927726,2,0,0.40824829025973886,5.0,3.0,0.0,0.0
train,DAMIMAS,DAMIMAS_A21B_0060,4,4,16,4.0,0.0,2,0,0.0,3.0,1.0,5.0,7.0
train,DAMIMAS,DAMIMAS_A21B_0062,4,4,15,3.75,1.707825127659933,4,0,0.45542003392120345,3.0,3.0,5.0,4.0
train,DAMIMAS,DAMIMAS_A21B_0063,4,4,16,4.0,0.8164965809277259,2,0,0.20412414518090044,5.0,8.0,3.0,0.0
train,DAMIMAS,DAMIMAS_A21B_0064,4,4,12,3.0,0.816496580927726,4,0,0.2721655268851868,2.0,4.0,5.0,1.0
train,DAMIMAS,DAMIMAS_A21B_0066,4,4,26,6.5,0.5773502691896258,1,0,0.08882311832320042,4.0,4.0,8.0,10.0
train,DAMIMAS,DAMIMAS_A21B_0068,4,4,18,4.5,1.2909944487358056,3,0,0.2868876552108707,4.0,5.0,3.0,6.0
train,DAMIMAS,DAMIMAS_A21B_0072,4,4,21,5.25,0.5,3,0,0.09523809521995465,3.0,7.0,8.0,3.0
train,DAMIMAS,DAMIMAS_A21B_0073,4,4,0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0
