image_path,label_path,stem,split,source_key,source,tree_id,view_id,width_px,height_px,file_size_bytes,label_count,is_empty,unique_class_count,class_combo,has_B1,has_B2,has_B3,has_B4
dataset_640\images\train\DAMIMAS_A21B_0011_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0011_3.txt,DAMIMAS_A21B_0011_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0011,3,640,853,437075,2,0,1,B2,0,1,0,0
dataset_640\images\train\DAMIMAS_A21B_0011_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0011_4.txt,DAMIMAS_A21B_0011_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0011,4,640,853,447067,3,0,2,B1+B2,1,1,0,0
dataset_640\images\train\DAMIMAS_A21B_0012_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0012_1.txt,DAMIMAS_A21B_0012_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0012,1,640,853,437109,5,0,4,B1+B2+B3+B4,1,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0012_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0012_2.txt,DAMIMAS_A21B_0012_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0012,2,640,853,437089,2,0,1,B2,0,1,0,0
dataset_640\images\train\DAMIMAS_A21B_0012_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0012_3.txt,DAMIMAS_A21B_0012_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0012,3,640,853,442238,4,0,2,B1+B2,1,1,0,0
dataset_640\images\train\DAMIMAS_A21B_0012_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0012_4.txt,DAMIMAS_A21B_0012_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0012,4,640,853,433327,4,0,4,B1+B2+B3+B4,1,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0013_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0013_1.txt,DAMIMAS_A21B_0013_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0013,1,640,853,446351,4,0,3,B2+B3+B4,0,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0013_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0013_2.txt,DAMIMAS_A21B_0013_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0013,2,640,853,433504,4,0,3,B2+B3+B4,0,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0013_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0013_3.txt,DAMIMAS_A21B_0013_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0013,3,640,853,444643,5,0,3,B2+B3+B4,0,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0013_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0013_4.txt,DAMIMAS_A21B_0013_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0013,4,640,853,441854,4,0,3,B1+B3+B4,1,0,1,1
dataset_640\images\train\DAMIMAS_A21B_0014_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0014_1.txt,DAMIMAS_A21B_0014_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0014,1,640,853,436604,6,0,3,B2+B3+B4,0,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0014_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0014_2.txt,DAMIMAS_A21B_0014_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0014,2,640,853,432904,4,0,3,B2+B3+B4,0,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0014_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0014_3.txt,DAMIMAS_A21B_0014_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0014,3,640,853,436719,4,0,2,B1+B3,1,0,1,0
dataset_640\images\train\DAMIMAS_A21B_0014_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0014_4.txt,DAMIMAS_A21B_0014_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0014,4,640,853,425343,4,0,3,B1+B3+B4,1,0,1,1
dataset_640\images\train\DAMIMAS_A21B_0015_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0015_1.txt,DAMIMAS_A21B_0015_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0015,1,640,853,440388,7,0,4,B1+B2+B3+B4,1,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0015_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0015_2.txt,DAMIMAS_A21B_0015_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0015,2,640,853,419493,6,0,4,B1+B2+B3+B4,1,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0015_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0015_3.txt,DAMIMAS_A21B_0015_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0015,3,640,853,431369,6,0,4,B1+B2+B3+B4,1,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0015_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0015_4.txt,DAMIMAS_A21B_0015_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0015,4,640,853,427209,6,0,4,B1+B2+B3+B4,1,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0016_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0016_1.txt,DAMIMAS_A21B_0016_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0016,1,640,853,438912,3,0,2,B2+B3,0,1,1,0
dataset_640\images\train\DAMIMAS_A21B_0016_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0016_2.txt,DAMIMAS_A21B_0016_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0016,2,640,853,427467,2,0,1,B3,0,0,1,0
dataset_640\images\train\DAMIMAS_A21B_0016_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0016_3.txt,DAMIMAS_A21B_0016_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0016,3,640,853,439961,1,0,1,B2,0,1,0,0
dataset_640\images\train\DAMIMAS_A21B_0016_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0016_4.txt,DAMIMAS_A21B_0016_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0016,4,640,853,439228,2,0,2,B1+B3,1,0,1,0
dataset_640\images\train\DAMIMAS_A21B_0017_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0017_1.txt,DAMIMAS_A21B_0017_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0017,1,640,853,410088,5,0,2,B3+B4,0,0,1,1
dataset_640\images\train\DAMIMAS_A21B_0017_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0017_2.txt,DAMIMAS_A21B_0017_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0017,2,640,853,390900,4,0,2,B3+B4,0,0,1,1
dataset_640\images\train\DAMIMAS_A21B_0017_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0017_3.txt,DAMIMAS_A21B_0017_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0017,3,640,853,427277,4,0,3,B1+B3+B4,1,0,1,1
dataset_640\images\train\DAMIMAS_A21B_0017_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0017_4.txt,DAMIMAS_A21B_0017_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0017,4,640,853,421885,3,0,3,B1+B3+B4,1,0,1,1
dataset_640\images\train\DAMIMAS_A21B_0018_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0018_1.txt,DAMIMAS_A21B_0018_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0018,1,640,853,450376,3,0,2,B1+B3,1,0,1,0
dataset_640\images\train\DAMIMAS_A21B_0018_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0018_2.txt,DAMIMAS_A21B_0018_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0018,2,640,853,440666,3,0,1,B3,0,0,1,0
dataset_640\images\train\DAMIMAS_A21B_0018_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0018_3.txt,DAMIMAS_A21B_0018_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0018,3,640,853,445222,3,0,2,B3+B4,0,0,1,1
dataset_640\images\train\DAMIMAS_A21B_0018_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0018_4.txt,DAMIMAS_A21B_0018_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0018,4,640,853,443879,2,0,2,B1+B3,1,0,1,0
dataset_640\images\train\DAMIMAS_A21B_0019_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0019_1.txt,DAMIMAS_A21B_0019_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0019,1,640,853,444614,6,0,4,B1+B2+B3+B4,1,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0019_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0019_2.txt,DAMIMAS_A21B_0019_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0019,2,640,853,420748,7,0,3,B1+B2+B3,1,1,1,0
dataset_640\images\train\DAMIMAS_A21B_0019_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0019_3.txt,DAMIMAS_A21B_0019_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0019,3,640,853,430214,6,0,3,B1+B2+B3,1,1,1,0
dataset_640\images\train\DAMIMAS_A21B_0019_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0019_4.txt,DAMIMAS_A21B_0019_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0019,4,640,853,446285,6,0,2,B2+B3,0,1,1,0
dataset_640\images\train\DAMIMAS_A21B_0020_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0020_1.txt,DAMIMAS_A21B_0020_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0020,1,640,853,435949,4,0,3,B2+B3+B4,0,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0020_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0020_2.txt,DAMIMAS_A21B_0020_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0020,2,640,853,422756,4,0,3,B2+B3+B4,0,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0020_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0020_3.txt,DAMIMAS_A21B_0020_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0020,3,640,853,440920,3,0,2,B1+B2,1,1,0,0
dataset_640\images\train\DAMIMAS_A21B_0020_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0020_4.txt,DAMIMAS_A21B_0020_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0020,4,640,853,439687,4,0,4,B1+B2+B3+B4,1,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0021_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0021_1.txt,DAMIMAS_A21B_0021_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0021,1,640,853,453116,5,0,4,B1+B2+B3+B4,1,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0021_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0021_2.txt,DAMIMAS_A21B_0021_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0021,2,640,853,448831,4,0,3,B1+B3+B4,1,0,1,1
dataset_640\images\train\DAMIMAS_A21B_0021_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0021_3.txt,DAMIMAS_A21B_0021_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0021,3,640,853,430460,6,0,4,B1+B2+B3+B4,1,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0021_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0021_4.txt,DAMIMAS_A21B_0021_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0021,4,640,853,446183,6,0,3,B2+B3+B4,0,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0022_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0022_1.txt,DAMIMAS_A21B_0022_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0022,1,640,853,429539,5,0,2,B3+B4,0,0,1,1
dataset_640\images\train\DAMIMAS_A21B_0022_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0022_2.txt,DAMIMAS_A21B_0022_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0022,2,640,853,409000,3,0,2,B3+B4,0,0,1,1
dataset_640\images\train\DAMIMAS_A21B_0022_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0022_3.txt,DAMIMAS_A21B_0022_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0022,3,640,853,429804,3,0,2,B3+B4,0,0,1,1
dataset_640\images\train\DAMIMAS_A21B_0022_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0022_4.txt,DAMIMAS_A21B_0022_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0022,4,640,853,401902,3,0,3,B2+B3+B4,0,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0023_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0023_1.txt,DAMIMAS_A21B_0023_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0023,1,640,853,444057,3,0,2,B1+B2,1,1,0,0
dataset_640\images\train\DAMIMAS_A21B_0023_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0023_2.txt,DAMIMAS_A21B_0023_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0023,2,640,853,433681,4,0,2,B1+B2,1,1,0,0
dataset_640\images\train\DAMIMAS_A21B_0023_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0023_3.txt,DAMIMAS_A21B_0023_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0023,3,640,853,433357,5,0,2,B1+B2,1,1,0,0
dataset_640\images\train\DAMIMAS_A21B_0023_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0023_4.txt,DAMIMAS_A21B_0023_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0023,4,640,853,445294,4,0,2,B1+B2,1,1,0,0
dataset_640\images\train\DAMIMAS_A21B_0024_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0024_1.txt,DAMIMAS_A21B_0024_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0024,1,640,853,433529,4,0,4,B1+B2+B3+B4,1,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0024_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0024_2.txt,DAMIMAS_A21B_0024_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0024,2,640,853,430084,5,0,3,B2+B3+B4,0,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0024_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0024_3.txt,DAMIMAS_A21B_0024_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0024,3,640,853,429935,5,0,4,B1+B2+B3+B4,1,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0024_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0024_4.txt,DAMIMAS_A21B_0024_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0024,4,640,853,424011,5,0,3,B1+B3+B4,1,0,1,1
dataset_640\images\train\DAMIMAS_A21B_0025_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0025_1.txt,DAMIMAS_A21B_0025_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0025,1,640,853,451001,3,0,2,B1+B3,1,0,1,0
dataset_640\images\train\DAMIMAS_A21B_0025_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0025_2.txt,DAMIMAS_A21B_0025_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0025,2,640,853,452194,3,0,2,B1+B3,1,0,1,0
dataset_640\images\train\DAMIMAS_A21B_0025_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0025_3.txt,DAMIMAS_A21B_0025_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0025,3,640,853,413300,2,0,2,B1+B2,1,1,0,0
dataset_640\images\train\DAMIMAS_A21B_0025_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0025_4.txt,DAMIMAS_A21B_0025_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0025,4,640,853,437669,3,0,2,B1+B3,1,0,1,0
dataset_640\images\train\DAMIMAS_A21B_0027_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0027_1.txt,DAMIMAS_A21B_0027_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0027,1,640,853,438753,4,0,2,B1+B2,1,1,0,0
dataset_640\images\train\DAMIMAS_A21B_0027_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0027_2.txt,DAMIMAS_A21B_0027_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0027,2,640,853,416956,6,0,2,B1+B2,1,1,0,0
dataset_640\images\train\DAMIMAS_A21B_0027_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0027_3.txt,DAMIMAS_A21B_0027_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0027,3,640,853,418460,4,0,2,B1+B2,1,1,0,0
dataset_640\images\train\DAMIMAS_A21B_0027_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0027_4.txt,DAMIMAS_A21B_0027_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0027,4,640,853,427207,5,0,2,B1+B2,1,1,0,0
dataset_640\images\train\DAMIMAS_A21B_0028_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0028_1.txt,DAMIMAS_A21B_0028_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0028,1,640,853,446158,5,0,2,B3+B4,0,0,1,1
dataset_640\images\train\DAMIMAS_A21B_0028_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0028_2.txt,DAMIMAS_A21B_0028_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0028,2,640,853,403845,5,0,2,B3+B4,0,0,1,1
