tree_id,B1,B2,B3,B4
DAMIMAS_A21B_0231,0.0,10.0,5.0,0.0
DAMIMAS_A21B_0232,0.0,0.0,4.0,4.0
DAMIMAS_A21B_0233,0.0,1.0,18.0,1.0
DAMIMAS_A21B_0234,0.0,0.0,5.0,9.0
DAMIMAS_A21B_0235,4.0,13.0,4.0,2.0
DAMIMAS_A21B_0236,1.0,9.0,6.0,7.0
DAMIMAS_A21B_0237,5.0,1.0,11.0,3.0
DAMIMAS_A21B_0238,4.0,2.0,9.0,4.0
DAMIMAS_A21B_0239,5.0,9.0,1.0,0.0
DAMIMAS_A21B_0240,0.0,7.0,4.0,3.0
DAMIMAS_A21B_0241,3.0,3.0,8.0,0.0
DAMIMAS_A21B_0242,0.0,4.0,9.0,3.0
DAMIMAS_A21B_0243,3.0,11.0,7.0,1.0
DAMIMAS_A21B_0244,0.0,4.0,4.0,6.0
DAMIMAS_A21B_0245,0.0,0.0,4.0,4.0
DAMIMAS_A21B_0246,1.0,6.0,9.0,5.0
DAMIMAS_A21B_0247,5.0,11.0,4.0,0.0
DAMIMAS_A21B_0248,2.0,6.0,6.0,4.0
DAMIMAS_A21B_0249,0.0,1.0,15.0,0.0
DAMIMAS_A21B_0250,2.0,2.0,8.0,17.0
DAMIMAS_A21B_0251,3.0,11.0,7.0,1.0
DAMIMAS_A21B_0252,0.0,5.0,5.0,3.0
DAMIMAS_A21B_0253,0.0,3.0,7.0,0.0
DAMIMAS_A21B_0254,0.0,3.0,9.0,6.0
DAMIMAS_A21B_0255,1.0,8.0,8.0,0.0
DAMIMAS_A21B_0256,0.0,2.0,1.0,0.0
DAMIMAS_A21B_0257,2.0,5.0,10.0,1.0
DAMIMAS_A21B_0258,0.0,4.0,11.0,2.0
DAMIMAS_A21B_0259,3.0,10.0,5.0,0.0
DAMIMAS_A21B_0260,2.0,8.0,6.0,3.0
DAMIMAS_A21B_0261,5.0,5.0,12.0,4.0
DAMIMAS_A21B_0262,3.0,5.0,12.0,3.0
DAMIMAS_A21B_0263,2.0,12.0,5.0,2.0
DAMIMAS_A21B_0264,6.0,4.0,5.0,7.0
DAMIMAS_A21B_0265,2.0,3.0,16.0,1.0
DAMIMAS_A21B_0266,3.0,5.0,12.0,1.0
DAMIMAS_A21B_0267,3.0,7.0,9.0,1.0
DAMIMAS_A21B_0268,6.0,6.0,5.0,10.0
DAMIMAS_A21B_0269,0.0,0.0,11.0,0.0
DAMIMAS_A21B_0270,3.0,2.0,10.0,1.0
DAMIMAS_A21B_0271,0.0,9.0,9.0,3.0
DAMIMAS_A21B_0272,3.0,1.0,9.0,4.0
DAMIMAS_A21B_0273,0.0,5.0,11.0,0.0
DAMIMAS_A21B_0274,1.0,1.0,13.0,4.0
DAMIMAS_A21B_0275,5.0,12.0,7.0,2.0
DAMIMAS_A21B_0276,2.0,4.0,3.0,1.0
DAMIMAS_A21B_0277,4.0,1.0,11.0,1.0
DAMIMAS_A21B_0278,5.0,1.0,14.0,0.0
DAMIMAS_A21B_0279,0.0,11.0,12.0,1.0
DAMIMAS_A21B_0280,3.0,4.0,7.0,4.0
DAMIMAS_A21B_0281,0.0,1.0,14.0,6.0
DAMIMAS_A21B_0282,4.0,4.0,9.0,0.0
DAMIMAS_A21B_0283,4.0,8.0,6.0,2.0
DAMIMAS_A21B_0284,3.0,4.0,4.0,5.0
DAMIMAS_A21B_0285,7.0,4.0,15.0,6.0
DAMIMAS_A21B_0286,2.0,5.0,10.0,2.0
DAMIMAS_A21B_0287,6.0,8.0,0.0,0.0
DAMIMAS_A21B_0288,1.0,7.0,6.0,6.0
DAMIMAS_A21B_0289,3.0,3.0,8.0,0.0
DAMIMAS_A21B_0290,0.0,0.0,14.0,0.0
DAMIMAS_A21B_0291,4.0,9.0,6.0,2.0
DAMIMAS_A21B_0292,0.0,9.0,6.0,6.0
DAMIMAS_A21B_0293,0.0,5.0,11.0,2.0
DAMIMAS_A21B_0294,0.0,5.0,14.0,4.0
DAMIMAS_A21B_0295,0.0,12.0,3.0,2.0
DAMIMAS_A21B_0296,2.0,5.0,3.0,2.0
DAMIMAS_A21B_0297,0.0,1.0,13.0,3.0
DAMIMAS_A21B_0298,4.0,0.0,13.0,5.0
DAMIMAS_A21B_0299,3.0,10.0,5.0,0.0
DAMIMAS_A21B_0300,1.0,4.0,5.0,3.0
DAMIMAS_A21B_0301,1.0,5.0,11.0,3.0
DAMIMAS_A21B_0302,2.0,2.0,11.0,0.0
DAMIMAS_A21B_0303,2.0,15.0,4.0,0.0
DAMIMAS_A21B_0304,0.0,6.0,4.0,8.0
DAMIMAS_A21B_0305,4.0,7.0,11.0,3.0
DAMIMAS_A21B_0306,2.0,2.0,5.0,0.0
DAMIMAS_A21B_0307,2.0,9.0,3.0,0.0
DAMIMAS_A21B_0308,2.0,3.0,5.0,5.0
DAMIMAS_A21B_0309,3.0,3.0,9.0,3.0
DAMIMAS_A21B_0310,3.0,0.0,16.0,1.0
DAMIMAS_A21B_0311,2.0,7.0,0.0,0.0
DAMIMAS_A21B_0312,2.0,7.0,4.0,5.0
DAMIMAS_A21B_0313,3.0,4.0,12.0,4.0
DAMIMAS_A21B_0314,0.0,4.0,13.0,5.0
DAMIMAS_A21B_0315,2.0,11.0,10.0,0.0
DAMIMAS_A21B_0316,4.0,6.0,6.0,8.0
DAMIMAS_A21B_0317,0.0,4.0,10.0,0.0
DAMIMAS_A21B_0318,0.0,0.0,16.0,5.0
DAMIMAS_A21B_0319,0.0,9.0,6.0,0.0
DAMIMAS_A21B_0320,6.0,6.0,6.0,5.0
DAMIMAS_A21B_0321,5.0,4.0,9.0,3.0
DAMIMAS_A21B_0323,0.0,11.0,2.0,0.0
DAMIMAS_A21B_0324,0.0,7.0,5.0,2.0
DAMIMAS_A21B_0325,0.0,6.0,8.0,3.0
DAMIMAS_A21B_0326,0.0,0.0,8.0,2.0
DAMIMAS_A21B_0327,3.0,4.0,4.0,0.0
DAMIMAS_A21B_0328,0.0,5.0,5.0,4.0
DAMIMAS_A21B_0329,4.0,1.0,1.0,0.0
DAMIMAS_A21B_0330,4.0,2.0,14.0,1.0
DAMIMAS_A21B_0331,0.0,13.0,4.0,0.0
DAMIMAS_A21B_0332,0.0,0.0,5.0,6.0
DAMIMAS_A21B_0333,2.0,1.0,5.0,0.0
DAMIMAS_A21B_0334,4.0,0.0,10.0,7.0
DAMIMAS_A21B_0335,6.0,6.0,0.0,0.0
DAMIMAS_A21B_0336,4.0,2.0,10.0,6.0
DAMIMAS_A21B_0337,0.0,1.0,11.0,4.0
DAMIMAS_A21B_0338,0.0,0.0,10.0,8.0
DAMIMAS_A21B_0339,4.0,6.0,3.0,0.0
DAMIMAS_A21B_0340,2.0,2.0,3.0,2.0
DAMIMAS_A21B_0341,0.0,5.0,13.0,2.0
DAMIMAS_A21B_0342,2.0,3.0,10.0,12.0
DAMIMAS_A21B_0343,4.0,8.0,6.0,0.0
DAMIMAS_A21B_0344,0.0,7.0,6.0,8.0
DAMIMAS_A21B_0345,2.0,4.0,7.0,1.0
DAMIMAS_A21B_0346,3.0,2.0,10.0,8.0
DAMIMAS_A21B_0347,5.0,8.0,4.0,1.0
DAMIMAS_A21B_0348,5.0,3.0,5.0,8.0
DAMIMAS_A21B_0349,1.0,2.0,2.0,4.0
DAMIMAS_A21B_0350,3.0,2.0,5.0,0.0
DAMIMAS_A21B_0351,4.0,10.0,10.0,1.0
DAMIMAS_A21B_0352,4.0,5.0,7.0,9.0
DAMIMAS_A21B_0353,5.0,4.0,9.0,0.0
DAMIMAS_A21B_0354,2.0,4.0,25.0,1.0
DAMIMAS_A21B_0355,5.0,9.0,8.0,2.0
DAMIMAS_A21B_0356,5.0,5.0,5.0,4.0
DAMIMAS_A21B_0357,0.0,4.0,15.0,3.0
DAMIMAS_A21B_0358,2.0,2.0,14.0,10.0
DAMIMAS_A21B_0359,6.0,5.0,9.0,2.0
DAMIMAS_A21B_0360,9.0,4.0,6.0,11.0
DAMIMAS_A21B_0361,4.0,4.0,10.0,6.0
DAMIMAS_A21B_0362,2.0,5.0,11.0,6.0
DAMIMAS_A21B_0363,0.0,11.0,2.0,2.0
DAMIMAS_A21B_0364,4.0,9.0,9.0,5.0
DAMIMAS_A21B_0365,2.0,5.0,16.0,4.0
DAMIMAS_A21B_0366,0.0,0.0,11.0,4.0
DAMIMAS_A21B_0367,1.0,8.0,8.0,2.0
DAMIMAS_A21B_0368,8.0,3.0,10.0,8.0
DAMIMAS_A21B_0369,2.0,2.0,7.0,3.0
DAMIMAS_A21B_0370,4.0,1.0,9.0,4.0
DAMIMAS_A21B_0371,2.0,8.0,11.0,0.0
DAMIMAS_A21B_0372,4.0,4.0,4.0,7.0
DAMIMAS_A21B_0373,6.0,3.0,10.0,3.0
DAMIMAS_A21B_0374,2.0,2.0,15.0,9.0
DAMIMAS_A21B_0375,3.0,9.0,8.0,0.0
DAMIMAS_A21B_0376,2.0,4.0,7.0,6.0
DAMIMAS_A21B_0377,1.0,0.0,13.0,1.0
DAMIMAS_A21B_0378,5.0,3.0,11.0,7.0
DAMIMAS_A21B_0379,4.0,5.0,0.0,0.0
DAMIMAS_A21B_0380,3.0,7.0,3.0,10.0
DAMIMAS_A21B_0381,6.0,0.0,11.0,5.0
DAMIMAS_A21B_0382,4.0,2.0,8.0,14.0
DAMIMAS_A21B_0383,4.0,10.0,8.0,2.0
DAMIMAS_A21B_0384,4.0,8.0,6.0,7.0
DAMIMAS_A21B_0385,2.0,4.0,14.0,6.0
DAMIMAS_A21B_0386,0.0,3.0,4.0,0.0
DAMIMAS_A21B_0387,5.0,9.0,1.0,0.0
DAMIMAS_A21B_0388,2.0,6.0,6.0,5.0
DAMIMAS_A21B_0389,1.0,4.0,16.0,4.0
DAMIMAS_A21B_0390,2.0,5.0,11.0,12.0
DAMIMAS_A21B_0391,4.0,11.0,1.0,0.0
DAMIMAS_A21B_0392,4.0,8.0,6.0,5.0
DAMIMAS_A21B_0393,2.0,6.0,13.0,3.0
DAMIMAS_A21B_0394,3.0,3.0,9.0,10.0
DAMIMAS_A21B_0395,6.0,10.0,5.0,0.0
DAMIMAS_A21B_0396,6.0,7.0,7.0,5.0
DAMIMAS_A21B_0397,2.0,3.0,11.0,3.0
DAMIMAS_A21B_0398,4.0,4.0,12.0,5.0
DAMIMAS_A21B_0399,6.0,7.0,3.0,1.0
DAMIMAS_A21B_0400,0.0,9.0,2.0,8.0
DAMIMAS_A21B_0401,0.0,0.0,13.0,3.0
DAMIMAS_A21B_0402,0.0,1.0,12.0,5.0
DAMIMAS_A21B_0403,4.0,9.0,8.0,3.0
DAMIMAS_A21B_0404,7.0,4.0,4.0,0.0
DAMIMAS_A21B_0405,1.0,4.0,7.0,1.0
DAMIMAS_A21B_0406,2.0,1.0,10.0,4.0
DAMIMAS_A21B_0407,3.0,8.0,10.0,2.0
DAMIMAS_A21B_0408,6.0,8.0,7.0,0.0
DAMIMAS_A21B_0409,5.0,1.0,9.0,0.0
DAMIMAS_A21B_0410,5.0,2.0,18.0,6.0
DAMIMAS_A21B_0411,4.0,10.0,9.0,0.0
DAMIMAS_A21B_0412,2.0,9.0,4.0,1.0
DAMIMAS_A21B_0413,2.0,3.0,14.0,7.0
DAMIMAS_A21B_0414,0.0,0.0,13.0,0.0
DAMIMAS_A21B_0415,3.0,9.0,9.0,0.0
DAMIMAS_A21B_0416,3.0,8.0,9.0,5.0
DAMIMAS_A21B_0417,3.0,4.0,13.0,5.0
DAMIMAS_A21B_0418,0.0,2.0,13.0,11.0
DAMIMAS_A21B_0419,0.0,10.0,10.0,3.0
DAMIMAS_A21B_0420,0.0,5.0,1.0,0.0
DAMIMAS_A21B_0422,3.0,0.0,8.0,10.0
DAMIMAS_A21B_0423,3.0,9.0,7.0,3.0
DAMIMAS_A21B_0424,6.0,2.0,7.0,0.0
DAMIMAS_A21B_0425,0.0,5.0,13.0,2.0
DAMIMAS_A21B_0426,0.0,0.0,13.0,4.0
DAMIMAS_A21B_0427,1.0,14.0,10.0,1.0
DAMIMAS_A21B_0428,6.0,5.0,7.0,9.0
DAMIMAS_A21B_0429,4.0,7.0,16.0,9.0
DAMIMAS_A21B_0430,0.0,2.0,14.0,6.0
DAMIMAS_A21B_0431,0.0,7.0,7.0,0.0
DAMIMAS_A21B_0432,0.0,5.0,7.0,2.0
DAMIMAS_A21B_0433,5.0,1.0,14.0,0.0
DAMIMAS_A21B_0434,0.0,5.0,14.0,5.0
DAMIMAS_A21B_0435,5.0,6.0,4.0,0.0
DAMIMAS_A21B_0436,3.0,7.0,5.0,6.0
DAMIMAS_A21B_0437,4.0,5.0,12.0,6.0
DAMIMAS_A21B_0438,0.0,0.0,13.0,14.0
DAMIMAS_A21B_0439,1.0,8.0,1.0,0.0
DAMIMAS_A21B_0440,0.0,7.0,10.0,6.0
DAMIMAS_A21B_0441,2.0,3.0,12.0,2.0
DAMIMAS_A21B_0442,0.0,2.0,10.0,11.0
DAMIMAS_A21B_0443,2.0,8.0,8.0,2.0
DAMIMAS_A21B_0444,4.0,1.0,5.0,6.0
DAMIMAS_A21B_0445,3.0,3.0,8.0,4.0
DAMIMAS_A21B_0446,3.0,3.0,11.0,2.0
DAMIMAS_A21B_0447,0.0,10.0,9.0,4.0
DAMIMAS_A21B_0448,2.0,5.0,7.0,4.0
DAMIMAS_A21B_0449,0.0,5.0,17.0,1.0
DAMIMAS_A21B_0450,2.0,2.0,10.0,11.0
DAMIMAS_A21B_0451,2.0,8.0,5.0,2.0
DAMIMAS_A21B_0452,8.0,1.0,5.0,8.0
DAMIMAS_A21B_0453,2.0,3.0,12.0,2.0
DAMIMAS_A21B_0454,0.0,5.0,8.0,10.0
