instance_id,line_index,image_path,stem,split,source_key,source,tree_id,view_id,class_id,class_name,x_center,y_center,bbox_w,bbox_h,bbox_area,aspect_ratio,image_label_count,crowding_others
21,4,dataset_640\images\train\DAMIMAS_A21B_0003_1.jpg,DAMIMAS_A21B_0003_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,1,2,B3,0.679367,0.428365,0.051248,0.089127,0.004567580496,0.5749997195013857,5,4
22,0,dataset_640\images\train\DAMIMAS_A21B_0003_2.jpg,DAMIMAS_A21B_0003_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,2,0,B1,0.595038,0.403661,0.106042,0.052021,0.005516410881999999,2.0384460121873857,5,4
23,1,dataset_640\images\train\DAMIMAS_A21B_0003_2.jpg,DAMIMAS_A21B_0003_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,2,1,B2,0.307923,0.480192,0.053355,0.055022,0.0029356988100000003,0.9697030278797572,5,4
24,2,dataset_640\images\train\DAMIMAS_A21B_0003_2.jpg,DAMIMAS_A21B_0003_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,2,2,B3,0.652728,0.356643,0.065359,0.047019,0.003073114821,1.3900550841149324,5,4
25,3,dataset_640\images\train\DAMIMAS_A21B_0003_2.jpg,DAMIMAS_A21B_0003_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,2,2,B3,0.415299,0.420418,0.138722,0.114546,0.015890050212,1.2110593124159728,5,4
26,4,dataset_640\images\train\DAMIMAS_A21B_0003_2.jpg,DAMIMAS_A21B_0003_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,2,2,B3,0.316927,0.432923,0.059357,0.055522,0.003295619354,1.0690717193184682,5,4
27,0,dataset_640\images\train\DAMIMAS_A21B_0003_3.jpg,DAMIMAS_A21B_0003_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,3,2,B3,0.409102,0.480664,0.049625,0.072622,0.0036038667500000003,0.6833328743356007,5,4
28,1,dataset_640\images\train\DAMIMAS_A21B_0003_3.jpg,DAMIMAS_A21B_0003_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,3,2,B3,0.661462,0.463644,0.105301,0.078522,0.008268445122,1.3410381803825682,5,4
29,2,dataset_640\images\train\DAMIMAS_A21B_0003_3.jpg,DAMIMAS_A21B_0003_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,3,3,B4,0.492012,0.444808,0.058097,0.073529,0.004271814313,0.7901236246922984,5,4
30,3,dataset_640\images\train\DAMIMAS_A21B_0003_3.jpg,DAMIMAS_A21B_0003_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,3,3,B4,0.365529,0.444354,0.054466,0.067175,0.00365875355,0.8108075921101601,5,4
31,4,dataset_640\images\train\DAMIMAS_A21B_0003_3.jpg,DAMIMAS_A21B_0003_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,3,3,B4,0.325284,0.477941,0.065965,0.065359,0.004311406435,1.009271867684634,5,4
32,0,dataset_640\images\train\DAMIMAS_A21B_0003_4.jpg,DAMIMAS_A21B_0003_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,4,1,B2,0.724673,0.443962,0.149287,0.112522,0.016798071814,1.3267361049394786,5,4
33,1,dataset_640\images\train\DAMIMAS_A21B_0003_4.jpg,DAMIMAS_A21B_0003_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,4,2,B3,0.602124,0.420844,0.121064,0.111965,0.01355493076,1.0812664671995713,5,4
34,2,dataset_640\images\train\DAMIMAS_A21B_0003_4.jpg,DAMIMAS_A21B_0003_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,4,2,B3,0.340686,0.409704,0.147802,0.115307,0.017042605214,1.2818128994770481,5,4
35,3,dataset_640\images\train\DAMIMAS_A21B_0003_4.jpg,DAMIMAS_A21B_0003_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,4,2,B3,0.282383,0.457331,0.126263,0.11475,0.014488679249999999,1.1003311546840957,5,4
36,4,dataset_640\images\train\DAMIMAS_A21B_0003_4.jpg,DAMIMAS_A21B_0003_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,4,3,B4,0.649287,0.336731,0.099525,0.080771,0.008038733775,1.232187294944968,5,4
37,0,dataset_640\images\train\DAMIMAS_A21B_0004_1.jpg,DAMIMAS_A21B_0004_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0004,1,2,B3,0.325234,0.459506,0.13214,0.092178,0.01218040092,1.4335307774089263,3,2
38,1,dataset_640\images\train\DAMIMAS_A21B_0004_1.jpg,DAMIMAS_A21B_0004_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0004,1,2,B3,0.430023,0.425938,0.117221,0.090047,0.010555399387000002,1.3017757393361244,3,2
39,2,dataset_640\images\train\DAMIMAS_A21B_0004_1.jpg,DAMIMAS_A21B_0004_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0004,1,2,B3,0.55044,0.399297,0.109406,0.083653,0.009152140118,1.307855067959308,3,2
40,0,dataset_640\images\train\DAMIMAS_A21B_0004_2.jpg,DAMIMAS_A21B_0004_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0004,2,2,B3,0.372549,0.479167,0.11329,0.11683,0.0132356707,0.9696995634682872,3,2
41,1,dataset_640\images\train\DAMIMAS_A21B_0004_2.jpg,DAMIMAS_A21B_0004_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0004,2,2,B3,0.487473,0.485703,0.110022,0.111928,0.012314542416,0.9829711957687084,3,2
42,2,dataset_640\images\train\DAMIMAS_A21B_0004_2.jpg,DAMIMAS_A21B_0004_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0004,2,2,B3,0.606209,0.488971,0.110022,0.10866,0.01195499052,1.0125345113197128,3,2
43,0,dataset_640\images\train\DAMIMAS_A21B_0004_3.jpg,DAMIMAS_A21B_0004_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0004,3,1,B2,0.376455,0.514646,0.117169,0.077714,0.009105671666000001,1.5076948812311808,3,2
44,1,dataset_640\images\train\DAMIMAS_A21B_0004_3.jpg,DAMIMAS_A21B_0004_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0004,3,1,B2,0.588076,0.468018,0.09246,0.095648,0.00884361408,0.9666694546671127,3,2
45,2,dataset_640\images\train\DAMIMAS_A21B_0004_3.jpg,DAMIMAS_A21B_0004_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0004,3,2,B3,0.48366,0.484756,0.102025,0.087279,0.008904639975,1.1689524398767173,3,2
46,0,dataset_640\images\train\DAMIMAS_A21B_0004_4.jpg,DAMIMAS_A21B_0004_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0004,4,1,B2,0.691993,0.49326,0.126634,0.100082,0.012673783988,1.2653024519893685,4,3
47,1,dataset_640\images\train\DAMIMAS_A21B_0004_4.jpg,DAMIMAS_A21B_0004_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0004,4,2,B3,0.576195,0.433996,0.106639,0.072669,0.007749349490999999,1.4674620539707441,4,3
48,2,dataset_640\images\train\DAMIMAS_A21B_0004_4.jpg,DAMIMAS_A21B_0004_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0004,4,2,B3,0.46841,0.45614,0.079119,0.069659,0.0055113504209999995,1.1358044186680831,4,3
49,3,dataset_640\images\train\DAMIMAS_A21B_0004_4.jpg,DAMIMAS_A21B_0004_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0004,4,2,B3,0.315044,0.462375,0.095746,0.078689,0.007534156994,1.2167647320464106,4,3
50,0,dataset_640\images\train\DAMIMAS_A21B_0005_1.jpg,DAMIMAS_A21B_0005_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0005,1,1,B2,0.315653,0.49491,0.160885,0.099925,0.016076433625,1.610057543157368,4,3
51,1,dataset_640\images\train\DAMIMAS_A21B_0005_1.jpg,DAMIMAS_A21B_0005_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0005,1,2,B3,0.441344,0.430178,0.108932,0.073529,0.008009661028,1.4814834963075794,4,3
52,2,dataset_640\images\train\DAMIMAS_A21B_0005_1.jpg,DAMIMAS_A21B_0005_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0005,1,2,B3,0.6546,0.448089,0.093012,0.072901,0.006780667811999999,1.2758672720538813,4,3
53,3,dataset_640\images\train\DAMIMAS_A21B_0005_1.jpg,DAMIMAS_A21B_0005_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0005,1,1,B2,0.74007,0.485168,0.044411,0.045249,0.002009553339,0.9814802537072643,4,3
54,0,dataset_640\images\train\DAMIMAS_A21B_0005_2.jpg,DAMIMAS_A21B_0005_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0005,2,2,B3,0.46124,0.423792,0.097279,0.084929,0.008261808191000001,1.1454155824276748,2,1
55,1,dataset_640\images\train\DAMIMAS_A21B_0005_2.jpg,DAMIMAS_A21B_0005_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0005,2,1,B2,0.283402,0.459986,0.127679,0.104879,0.013390845840999999,1.2173933771298353,2,1
56,0,dataset_640\images\train\DAMIMAS_A21B_0005_3.jpg,DAMIMAS_A21B_0005_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0005,3,2,B3,0.310002,0.443456,0.100319,0.079799,0.008005355880999999,1.2571460795248062,5,4
57,1,dataset_640\images\train\DAMIMAS_A21B_0005_3.jpg,DAMIMAS_A21B_0005_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0005,3,1,B2,0.47074,0.453431,0.123879,0.116849,0.014475137271,1.0601631165007832,5,4
58,2,dataset_640\images\train\DAMIMAS_A21B_0005_3.jpg,DAMIMAS_A21B_0005_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0005,3,3,B4,0.572959,0.394722,0.091199,0.06099,0.00556222701,1.4953107066732252,5,4
59,3,dataset_640\images\train\DAMIMAS_A21B_0005_3.jpg,DAMIMAS_A21B_0005_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0005,3,2,B3,0.660739,0.420657,0.06004,0.03306,0.0019849224,1.8160919540229887,5,4
60,4,dataset_640\images\train\DAMIMAS_A21B_0005_3.jpg,DAMIMAS_A21B_0005_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0005,3,1,B2,0.673659,0.501881,0.081319,0.073529,0.0059793047509999996,1.1059445932897225,5,4
61,0,dataset_640\images\train\DAMIMAS_A21B_0005_4.jpg,DAMIMAS_A21B_0005_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0005,4,0,B1,0.47948,0.479366,0.136799,0.121979,0.016686605221,1.1214963231375892,4,3
62,1,dataset_640\images\train\DAMIMAS_A21B_0005_4.jpg,DAMIMAS_A21B_0005_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0005,4,1,B2,0.326721,0.473951,0.132239,0.095189,0.012587698170999998,1.3892256458204204,4,3
63,2,dataset_640\images\train\DAMIMAS_A21B_0005_4.jpg,DAMIMAS_A21B_0005_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0005,4,2,B3,0.649719,0.440606,0.074479,0.04788,0.00356605452,1.5555346700083543,4,3
64,3,dataset_640\images\train\DAMIMAS_A21B_0005_4.jpg,DAMIMAS_A21B_0005_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0005,4,3,B4,0.44794,0.387027,0.104119,0.0456,0.0047478264,2.283311403508772,4,3
65,0,dataset_640\images\train\DAMIMAS_A21B_0006_1.jpg,DAMIMAS_A21B_0006_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0006,1,2,B3,0.536037,0.52226,0.088191,0.088302,0.007787441682000001,0.9987429503295508,3,2
66,1,dataset_640\images\train\DAMIMAS_A21B_0006_1.jpg,DAMIMAS_A21B_0006_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0006,1,3,B4,0.431507,0.497918,0.117289,0.101397,0.011892752733,1.1567304752606093,3,2
67,2,dataset_640\images\train\DAMIMAS_A21B_0006_1.jpg,DAMIMAS_A21B_0006_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0006,1,3,B4,0.328319,0.540727,0.050586,0.043983,0.002224924038,1.150126185116977,3,2
68,0,dataset_640\images\train\DAMIMAS_A21B_0006_2.jpg,DAMIMAS_A21B_0006_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0006,2,2,B3,0.418028,0.492851,0.125817,0.084559,0.010638959703,1.4879196773850214,3,2
69,1,dataset_640\images\train\DAMIMAS_A21B_0006_2.jpg,DAMIMAS_A21B_0006_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0006,2,2,B3,0.620915,0.444853,0.063181,0.077614,0.004903730134000001,0.8140412812121525,3,2
70,2,dataset_640\images\train\DAMIMAS_A21B_0006_2.jpg,DAMIMAS_A21B_0006_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0006,2,3,B4,0.522059,0.454248,0.077887,0.093954,0.007317795197999999,0.8289907827234604,3,2
71,0,dataset_640\images\train\DAMIMAS_A21B_0006_3.jpg,DAMIMAS_A21B_0006_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0006,3,1,B2,0.414633,0.442927,0.152061,0.095538,0.014527603818,1.5916284619732464,4,3
72,1,dataset_640\images\train\DAMIMAS_A21B_0006_3.jpg,DAMIMAS_A21B_0006_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0006,3,2,B3,0.669068,0.421168,0.095371,0.089036,0.008491452356,1.0711509951031042,4,3
73,2,dataset_640\images\train\DAMIMAS_A21B_0006_3.jpg,DAMIMAS_A21B_0006_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0006,3,2,B3,0.563025,0.403411,0.084701,0.093537,0.007922677437,0.9055347081903419,4,3
74,3,dataset_640\images\train\DAMIMAS_A21B_0006_3.jpg,DAMIMAS_A21B_0006_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0006,3,3,B4,0.663399,0.345138,0.078698,0.063025,0.00495994145,1.2486790955969855,4,3
75,0,dataset_640\images\train\DAMIMAS_A21B_0006_4.jpg,DAMIMAS_A21B_0006_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0006,4,0,B1,0.685367,0.2687,0.125272,0.127088,0.015920567936,0.9857106886566788,5,4
76,1,dataset_640\images\train\DAMIMAS_A21B_0006_4.jpg,DAMIMAS_A21B_0006_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0006,4,2,B3,0.586117,0.269381,0.080489,0.102124,0.008219858636000001,0.788149700364263,5,4
77,2,dataset_640\images\train\DAMIMAS_A21B_0006_4.jpg,DAMIMAS_A21B_0006_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0006,4,2,B3,0.296841,0.307053,0.101065,0.088508,0.00894506102,1.1418741808650066,5,4
78,3,dataset_640\images\train\DAMIMAS_A21B_0006_4.jpg,DAMIMAS_A21B_0006_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0006,4,3,B4,0.350097,0.223992,0.113169,0.106663,0.012070945047,1.0609958467322316,5,4
79,4,dataset_640\images\train\DAMIMAS_A21B_0006_4.jpg,DAMIMAS_A21B_0006_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0006,4,3,B4,0.596708,0.202206,0.054466,0.092139,0.005018442774,0.5911286208880062,5,4
80,0,dataset_640\images\train\DAMIMAS_A21B_0007_1.jpg,DAMIMAS_A21B_0007_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,1,0,B1,0.675006,0.482815,0.102922,0.093532,0.009626500504000001,1.100393448231621,7,6
81,1,dataset_640\images\train\DAMIMAS_A21B_0007_1.jpg,DAMIMAS_A21B_0007_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,1,0,B1,0.315485,0.515711,0.090777,0.079186,0.0071882675220000004,1.146376884802869,7,6
82,2,dataset_640\images\train\DAMIMAS_A21B_0007_1.jpg,DAMIMAS_A21B_0007_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,1,2,B3,0.475082,0.389706,0.116013,0.082721,0.009596711373000002,1.4024612855260454,7,6
83,3,dataset_640\images\train\DAMIMAS_A21B_0007_1.jpg,DAMIMAS_A21B_0007_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,1,1,B2,0.36693,0.464525,0.133012,0.098469,0.013097558628,1.3508007596299343,7,6
84,4,dataset_640\images\train\DAMIMAS_A21B_0007_1.jpg,DAMIMAS_A21B_0007_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,1,1,B2,0.619482,0.412496,0.104919,0.100189,0.010511729691,1.0472107716415973,7,6
85,5,dataset_640\images\train\DAMIMAS_A21B_0007_1.jpg,DAMIMAS_A21B_0007_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,1,1,B2,0.547529,0.510535,0.088293,0.074389,0.006568027977,1.1869093548777374,7,6
86,6,dataset_640\images\train\DAMIMAS_A21B_0007_1.jpg,DAMIMAS_A21B_0007_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,1,1,B2,0.685988,0.420881,0.090013,0.05246,0.00472208198,1.7158406404879907,7,6
87,0,dataset_640\images\train\DAMIMAS_A21B_0007_2.jpg,DAMIMAS_A21B_0007_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,2,0,B1,0.314386,0.528549,0.117837,0.093832,0.011056881384,1.255829567738085,9,8
88,1,dataset_640\images\train\DAMIMAS_A21B_0007_2.jpg,DAMIMAS_A21B_0007_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,2,2,B3,0.343778,0.454861,0.142892,0.120404,0.017204768367999997,1.1867712036144977,9,8
89,2,dataset_640\images\train\DAMIMAS_A21B_0007_2.jpg,DAMIMAS_A21B_0007_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,2,0,B1,0.514802,0.487743,0.102881,0.077766,0.008000643846000001,1.3229560476300697,9,8
90,3,dataset_640\images\train\DAMIMAS_A21B_0007_2.jpg,DAMIMAS_A21B_0007_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,2,2,B3,0.45426,0.386916,0.104658,0.103003,0.010780087974,1.0160674931798104,9,8
91,4,dataset_640\images\train\DAMIMAS_A21B_0007_2.jpg,DAMIMAS_A21B_0007_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,2,2,B3,0.601649,0.399631,0.09473,0.079114,0.00749446922,1.1973860505093914,9,8
92,5,dataset_640\images\train\DAMIMAS_A21B_0007_2.jpg,DAMIMAS_A21B_0007_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,2,2,B3,0.648631,0.441176,0.081079,0.093696,0.007596777984,0.8653411031420765,9,8
93,6,dataset_640\images\train\DAMIMAS_A21B_0007_2.jpg,DAMIMAS_A21B_0007_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,2,2,B3,0.706514,0.450341,0.081079,0.092765,0.007521293435,0.874025764027381,9,8
94,7,dataset_640\images\train\DAMIMAS_A21B_0007_2.jpg,DAMIMAS_A21B_0007_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,2,3,B4,0.334712,0.369378,0.078492,0.0466,0.0036577272000000004,1.6843776824034336,9,8
95,8,dataset_640\images\train\DAMIMAS_A21B_0007_2.jpg,DAMIMAS_A21B_0007_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,2,3,B4,0.673754,0.380116,0.076797,0.058517,0.004493930049,1.3123878531025173,9,8
96,0,dataset_640\images\train\DAMIMAS_A21B_0007_3.jpg,DAMIMAS_A21B_0007_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,3,0,B1,0.559829,0.450038,0.1091,0.0954,0.01040814,1.1436058700209644,6,5
97,1,dataset_640\images\train\DAMIMAS_A21B_0007_3.jpg,DAMIMAS_A21B_0007_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,3,1,B2,0.369434,0.455346,0.156761,0.118719,0.018610509159,1.3204373352201417,6,5
98,2,dataset_640\images\train\DAMIMAS_A21B_0007_3.jpg,DAMIMAS_A21B_0007_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,3,1,B2,0.711806,0.465686,0.095997,0.079657,0.007646833029000001,1.205129492699951,6,5
99,3,dataset_640\images\train\DAMIMAS_A21B_0007_3.jpg,DAMIMAS_A21B_0007_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,3,1,B2,0.658701,0.394646,0.12357,0.116039,0.01433893923,1.064900593765889,6,5
100,4,dataset_640\images\train\DAMIMAS_A21B_0007_3.jpg,DAMIMAS_A21B_0007_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,3,2,B3,0.364583,0.359796,0.120507,0.083869,0.010106801583,1.4368479414324722,6,5
